cell_id,Falco sparverius,Falco sparverius [sparverius Group],Falco sparverius paulus,Falco sparverius caribaearum,Falco sparverius dominicensis,Falco sparverius sparverioides,Falco sparverius [cinnamominus Group],Falco sparverius fernandensis
820c07fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c67fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820d47fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d4ffffffffff,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d57fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d5ffffffffff,188.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820d67fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d6ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820d77fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e57fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e5ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e9ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ec7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820edffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ef7fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82120ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821217fffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82121ffffffffff,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821227fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82122ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821247fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82124ffffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821267fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82126ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821287fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82129ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212a7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,1085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,3368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,3421.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82130ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
