cell_id,Chloephaga picta,Chloephaga picta (White-breasted),Chloephaga picta (Bar-breasted)
841e037ffffffff,3.0,0.0,0.0
841e225ffffffff,12.0,0.0,0.0
841fa45ffffffff,1.0,0.0,0.0
842834dffffffff,1.0,0.0,0.0
8439337ffffffff,204.0,0.0,0.0
84b25d5ffffffff,18.0,0.0,0.0
84b2c05ffffffff,1.0,0.0,0.0
84b2c09ffffffff,2.0,0.0,0.0
84b2c0dffffffff,3.0,0.0,0.0
84b2c11ffffffff,2.0,0.0,0.0
84b2c1bffffffff,4.0,0.0,0.0
84b2c53ffffffff,118.0,1.0,5.0
84b2c55ffffffff,6.0,0.0,2.0
84b2c5dffffffff,16.0,0.0,2.0
84b2c85ffffffff,3.0,0.0,0.0
84b2ca9ffffffff,16.0,0.0,0.0
84b2cc5ffffffff,2.0,0.0,0.0
84b2cc7ffffffff,14.0,0.0,0.0
84b2cddffffffff,5.0,0.0,0.0
84b2ce1ffffffff,1.0,0.0,0.0
84b2ce3ffffffff,1.0,0.0,0.0
84b2d87ffffffff,2.0,0.0,0.0
84b2ddbffffffff,24.0,3.0,0.0
84b2ea7ffffffff,1.0,0.0,0.0
84b2ecdffffffff,1.0,0.0,0.0
84ce807ffffffff,2.0,0.0,0.0
84ce813ffffffff,2.0,0.0,0.0
84ce82bffffffff,1.0,0.0,0.0
84ce837ffffffff,1.0,0.0,0.0
84ce83dffffffff,2.0,0.0,0.0
84ce84bffffffff,2.0,0.0,0.0
84ce8e1ffffffff,2.0,0.0,0.0
84ce9d7ffffffff,1.0,0.0,0.0
84cea05ffffffff,5.0,0.0,0.0
84cea07ffffffff,26.0,0.0,0.0
84cea21ffffffff,2.0,0.0,0.0
84cea2bffffffff,5.0,0.0,0.0
84cea3dffffffff,6.0,0.0,0.0
84cf121ffffffff,6.0,0.0,0.0
84cf123ffffffff,3.0,0.0,0.0
84cf129ffffffff,16.0,0.0,0.0
84cf135ffffffff,2.0,0.0,0.0
84cf165ffffffff,2.0,0.0,0.0
84cf16dffffffff,8.0,0.0,0.0
84cf813ffffffff,2.0,0.0,0.0
84cf851ffffffff,2.0,0.0,0.0
84cf853ffffffff,2.0,2.0,0.0
84cf887ffffffff,27.0,0.0,0.0
84cf8a3ffffffff,8.0,2.0,0.0
84cf8b9ffffffff,2.0,0.0,0.0
84cf8bbffffffff,4.0,0.0,4.0
84cf8c5ffffffff,3.0,2.0,0.0
84cf8e9ffffffff,4.0,4.0,0.0
84cfa09ffffffff,12.0,0.0,0.0
84cfa0dffffffff,14.0,0.0,0.0
84cfa23ffffffff,22.0,0.0,0.0
84cfa27ffffffff,7.0,0.0,0.0
84cfa35ffffffff,2.0,0.0,0.0
84cfa41ffffffff,3.0,0.0,0.0
84cfa45ffffffff,10.0,1.0,3.0
84cfa47ffffffff,39.0,6.0,18.0
84cfa49ffffffff,5.0,0.0,0.0
84cfa57ffffffff,2.0,0.0,0.0
84cfaa1ffffffff,2.0,0.0,2.0
84cfaa3ffffffff,2.0,2.0,0.0
84cfac9ffffffff,10.0,1.0,0.0
84cfacdffffffff,9.0,0.0,0.0
84cfae1ffffffff,2.0,2.0,0.0
84cfae3ffffffff,1.0,0.0,0.0
84cfae7ffffffff,3.0,3.0,0.0
84de62dffffffff,3.0,0.0,0.0
84de707ffffffff,2.0,2.0,0.0
84de719ffffffff,1.0,0.0,0.0
84de753ffffffff,2.0,0.0,0.0
84df451ffffffff,5.0,1.0,0.0
84df455ffffffff,3.0,0.0,0.0
84df683ffffffff,12.0,1.0,0.0
84df687ffffffff,5.0,0.0,0.0
84df68bffffffff,3.0,3.0,0.0
84df691ffffffff,4.0,0.0,0.0
84df699ffffffff,54.0,0.0,2.0
84df69bffffffff,2.0,0.0,2.0
84df69dffffffff,3.0,0.0,1.0
84df6a3ffffffff,4.0,0.0,0.0
84df6b3ffffffff,2.0,0.0,0.0
84df6b5ffffffff,6.0,0.0,0.0
84df6d7ffffffff,9.0,0.0,0.0
