cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
843c021ffffffff,5.0,0.0,0.0
843c023ffffffff,2.0,0.0,0.0
843c025ffffffff,1.0,0.0,0.0
843c029ffffffff,523.0,0.0,0.0
843c02dffffffff,107.0,0.0,0.0
843c063ffffffff,1.0,0.0,0.0
843c065ffffffff,10.0,0.0,0.0
843c067ffffffff,17.0,0.0,0.0
843c069ffffffff,2.0,0.0,0.0
843c0a3ffffffff,2.0,0.0,0.0
843c0a5ffffffff,31.0,0.0,0.0
843c0b5ffffffff,29.0,0.0,0.0
843c0b7ffffffff,14.0,0.0,0.0
843c0bdffffffff,8.0,0.0,0.0
843c139ffffffff,11.0,0.0,0.0
843c151ffffffff,2.0,0.0,0.0
843c159ffffffff,178.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0
843c165ffffffff,2.0,0.0,0.0
843c167ffffffff,2.0,0.0,0.0
843c181ffffffff,2.0,0.0,0.0
843c189ffffffff,11.0,0.0,0.0
843c191ffffffff,56.0,0.0,0.0
843c193ffffffff,15.0,0.0,0.0
843c195ffffffff,4.0,0.0,0.0
843c199ffffffff,357.0,0.0,0.0
843c19bffffffff,79.0,0.0,0.0
843c19dffffffff,5.0,0.0,0.0
843c1a9ffffffff,4.0,0.0,0.0
843c1abffffffff,2.0,0.0,0.0
843c1b3ffffffff,1.0,0.0,0.0
843c1b5ffffffff,142.0,0.0,0.0
843c1b9ffffffff,10.0,0.0,0.0
843c1c1ffffffff,1.0,0.0,0.0
843c1c3ffffffff,311.0,0.0,0.0
843c1c5ffffffff,1.0,0.0,0.0
843c1c7ffffffff,10.0,0.0,0.0
843c1c9ffffffff,5.0,0.0,0.0
843c1d1ffffffff,4.0,0.0,0.0
843c1d3ffffffff,8.0,0.0,0.0
843c1d5ffffffff,4.0,0.0,0.0
843c1d7ffffffff,46.0,0.0,0.0
843c307ffffffff,1.0,0.0,0.0
843c315ffffffff,4.0,0.0,0.0
843c333ffffffff,6.0,0.0,0.0
843c335ffffffff,9.0,0.0,0.0
843c337ffffffff,9.0,0.0,0.0
843c33bffffffff,36.0,0.0,0.0
843c33dffffffff,4.0,0.0,0.0
843c345ffffffff,4.0,0.0,0.0
843c367ffffffff,8.0,0.0,0.0
843c369ffffffff,26.0,0.0,0.0
843c36bffffffff,5.0,0.0,0.0
843c525ffffffff,14.0,0.0,0.0
843c527ffffffff,26.0,0.0,0.0
843c537ffffffff,10.0,0.0,0.0
843c581ffffffff,162.0,0.0,0.0
843c585ffffffff,80.0,0.0,0.0
843c587ffffffff,36.0,0.0,0.0
843c58dffffffff,22.0,0.0,0.0
843c5a1ffffffff,180.0,0.0,0.0
843c5a3ffffffff,3.0,0.0,0.0
843c5a9ffffffff,268.0,0.0,0.0
843c5abffffffff,11.0,0.0,0.0
843c5adffffffff,20.0,0.0,0.0
843c5b3ffffffff,2.0,0.0,0.0
843c5bdffffffff,95.0,0.0,0.0
843c5e3ffffffff,38.0,0.0,0.0
843c5e5ffffffff,1.0,0.0,0.0
843c5e7ffffffff,6.0,0.0,0.0
843c5ebffffffff,1.0,0.0,0.0
843c805ffffffff,8.0,0.0,0.0
843c807ffffffff,8.0,0.0,0.0
843c80dffffffff,5.0,0.0,0.0
