cell_id,Cyornis unicolor,Cyornis unicolor unicolor,Cyornis unicolor diaoluoensis,Cyornis unicolor cyanopolia
843c029ffffffff,4.0,0.0,0.0,0.0
843c02dffffffff,4.0,0.0,0.0,0.0
843c067ffffffff,13.0,0.0,0.0,0.0
843c0a5ffffffff,9.0,0.0,0.0,0.0
843c199ffffffff,41.0,0.0,0.0,0.0
843c19bffffffff,3.0,0.0,0.0,0.0
843c1d3ffffffff,4.0,0.0,0.0,0.0
843c537ffffffff,7.0,0.0,0.0,0.0
843c5a1ffffffff,4.0,0.0,0.0,0.0
843c5a3ffffffff,1.0,0.0,0.0,0.0
843c5adffffffff,1.0,0.0,0.0,0.0
843c5bdffffffff,4.0,0.0,0.0,0.0
843ce15ffffffff,2.0,2.0,0.0,0.0
843ce29ffffffff,2.0,0.0,0.0,0.0
843ce3bffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,12.0,0.0,0.0,0.0
843cec9ffffffff,2.0,0.0,0.0,0.0
843cecdffffffff,3.0,0.0,0.0,0.0
843ceddffffffff,2.0,0.0,0.0,0.0
8441719ffffffff,2.0,0.0,0.0,0.0
8464161ffffffff,2.0,0.0,0.0,0.0
846416dffffffff,43.0,5.0,0.0,0.0
846480bffffffff,1.0,0.0,0.0,0.0
8464911ffffffff,2.0,0.0,0.0,0.0
846500bffffffff,5.0,0.0,0.0,0.0
8465033ffffffff,2.0,0.0,0.0,0.0
8465037ffffffff,8.0,0.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0,0.0
8465055ffffffff,4.0,0.0,0.0,0.0
846505dffffffff,5.0,0.0,0.0,0.0
8465189ffffffff,2.0,0.0,0.0,1.0
846518bffffffff,2.0,0.0,0.0,0.0
84651cdffffffff,10.0,0.0,0.0,7.0
84658e5ffffffff,1.0,0.0,0.0,0.0
8465b2bffffffff,1.0,0.0,0.0,0.0
846811bffffffff,2.0,0.0,0.0,2.0
848c961ffffffff,1.0,0.0,0.0,1.0
