cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
84ad321ffffffff,7.0,3.0,0.0
84ad329ffffffff,2.0,1.0,0.0
84ad361ffffffff,2.0,2.0,0.0
84ad369ffffffff,13.0,1.0,0.0
84bc693ffffffff,2.0,0.0,0.0
84bc695ffffffff,8.0,0.0,0.0
84bc697ffffffff,1.0,0.0,0.0
84bc739ffffffff,2.0,0.0,0.0
84c01e1ffffffff,4.0,0.0,0.0
84c01e3ffffffff,2.0,0.0,0.0
84c01ebffffffff,11.0,0.0,0.0
84c0e2dffffffff,7.0,0.0,0.0
84ca815ffffffff,1.0,0.0,0.0
84ccf11ffffffff,1.0,0.0,0.0
84da00dffffffff,74.0,0.0,0.0
84da063ffffffff,3.0,0.0,0.0
84da189ffffffff,74.0,0.0,0.0
84da18bffffffff,1.0,0.0,0.0
84da1d5ffffffff,2.0,0.0,0.0
84da733ffffffff,61.0,0.0,0.0
84da737ffffffff,1.0,0.0,0.0
84daa91ffffffff,47.0,0.0,0.0
84daaabffffffff,3.0,0.0,0.0
84db825ffffffff,33.0,0.0,0.0
84db857ffffffff,44.0,0.0,0.0
84de1bdffffffff,2.0,0.0,0.0
84de807ffffffff,3.0,0.0,0.0
84de819ffffffff,3.0,0.0,3.0
84de821ffffffff,83.0,0.0,49.0
84de825ffffffff,69.0,0.0,16.0
84de829ffffffff,8.0,0.0,2.0
84de82bffffffff,6.0,0.0,0.0
84de82dffffffff,131.0,0.0,74.0
84de83dffffffff,2.0,0.0,0.0
84de909ffffffff,3.0,0.0,0.0
84de90bffffffff,5.0,0.0,0.0
84de919ffffffff,8.0,0.0,4.0
84de943ffffffff,6.0,0.0,0.0
84de951ffffffff,121.0,0.0,77.0
84de953ffffffff,398.0,0.0,148.0
84de955ffffffff,168.0,0.0,89.0
84de957ffffffff,147.0,0.0,59.0
84de95dffffffff,123.0,0.0,53.0
84dea67ffffffff,2.0,0.0,0.0
84deaa5ffffffff,4.0,0.0,3.0
84deb37ffffffff,1.0,0.0,1.0
84df003ffffffff,1.0,0.0,0.0
84df005ffffffff,1.0,0.0,0.0
84df00dffffffff,2.0,0.0,0.0
84df025ffffffff,15.0,2.0,0.0
84df029ffffffff,55.0,0.0,0.0
84df02bffffffff,2.0,2.0,0.0
84df02dffffffff,57.0,23.0,0.0
84df043ffffffff,2.0,2.0,0.0
84df045ffffffff,4.0,0.0,0.0
84df04dffffffff,2.0,0.0,0.0
84df053ffffffff,1.0,0.0,0.0
84df061ffffffff,154.0,32.0,0.0
84df063ffffffff,9.0,2.0,0.0
84df067ffffffff,58.0,8.0,0.0
84df069ffffffff,164.0,21.0,0.0
84df06bffffffff,29.0,11.0,0.0
84df117ffffffff,10.0,0.0,0.0
84df11dffffffff,3.0,3.0,0.0
84df141ffffffff,13.0,3.0,0.0
84df143ffffffff,15.0,3.0,0.0
84df147ffffffff,22.0,7.0,0.0
84df149ffffffff,14.0,0.0,0.0
84df14bffffffff,109.0,25.0,0.0
84df151ffffffff,2.0,0.0,0.0
84df153ffffffff,3.0,0.0,0.0
84df15dffffffff,13.0,4.0,0.0
84df167ffffffff,2.0,0.0,0.0
84df16bffffffff,10.0,2.0,0.0
84df1e1ffffffff,4.0,0.0,0.0
84df1e5ffffffff,6.0,0.0,0.0
84df1e9ffffffff,5.0,2.0,0.0
84df1ebffffffff,2.0,0.0,0.0
84df1edffffffff,80.0,30.0,0.0
84df227ffffffff,2.0,0.0,0.0
84df267ffffffff,5.0,0.0,0.0
84df287ffffffff,8.0,0.0,0.0
84df303ffffffff,47.0,12.0,0.0
84df30bffffffff,72.0,20.0,0.0
84df313ffffffff,4.0,0.0,0.0
84df315ffffffff,56.0,9.0,0.0
84df317ffffffff,4.0,0.0,0.0
84df31bffffffff,3.0,0.0,0.0
84df31dffffffff,53.0,7.0,0.0
84df321ffffffff,7.0,1.0,0.0
84df323ffffffff,3.0,1.0,0.0
84df327ffffffff,22.0,1.0,0.0
84df333ffffffff,2.0,2.0,0.0
84df335ffffffff,2.0,0.0,0.0
84df351ffffffff,165.0,49.0,0.0
84df353ffffffff,7.0,0.0,0.0
84df355ffffffff,339.0,74.0,0.0
84df357ffffffff,89.0,52.0,0.0
84df359ffffffff,185.0,78.0,0.0
84df35dffffffff,249.0,60.0,0.0
84df801ffffffff,1.0,0.0,0.0
84df803ffffffff,27.0,0.0,0.0
84df811ffffffff,5.0,0.0,0.0
84df819ffffffff,1.0,0.0,0.0
84df81bffffffff,2.0,0.0,0.0
84df81dffffffff,4.0,0.0,0.0
84df83bffffffff,2.0,2.0,0.0
84df889ffffffff,2.0,0.0,0.0
84dfa8dffffffff,2.0,2.0,0.0
84dfaabffffffff,2.0,0.0,0.0
84dfac1ffffffff,1.0,0.0,0.0
84e0931ffffffff,3.0,0.0,0.0
84e0935ffffffff,2.0,0.0,0.0
84e0939ffffffff,5.0,0.0,0.0
84e093dffffffff,1.0,0.0,0.0
84e8827ffffffff,5.0,3.0,0.0
84e8911ffffffff,7.0,2.0,0.0
84e8913ffffffff,8.0,0.0,0.0
84e8951ffffffff,1.0,0.0,0.0
84e8987ffffffff,14.0,0.0,0.0
84e8989ffffffff,22.0,0.0,0.0
84e898bffffffff,2.0,0.0,0.0
84e898dffffffff,13.0,0.0,0.0
84e89b1ffffffff,2.0,0.0,0.0
84e89b3ffffffff,2.0,0.0,0.0
84e89b7ffffffff,165.0,17.0,0.0
84e89c3ffffffff,2.0,0.0,0.0
84e89c5ffffffff,5.0,0.0,0.0
84e89c7ffffffff,15.0,2.0,0.0
84e89cdffffffff,4.0,1.0,0.0
84e89d1ffffffff,1.0,0.0,0.0
84e89d9ffffffff,1.0,1.0,0.0
84e89e9ffffffff,1.0,0.0,0.0
84e89ebffffffff,5.0,0.0,0.0
84e8b03ffffffff,2.0,0.0,0.0
84e8b1dffffffff,2.0,0.0,0.0
84e99a5ffffffff,2.0,0.0,0.0
84ee693ffffffff,2.0,0.0,0.0
