cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
824527fffffffff,2766.0,1466.0,0.0
82452ffffffffff,987.0,502.0,0.0
824537fffffffff,790.0,434.0,0.0
8266a7fffffffff,1729.0,1079.0,16.0
8266b7fffffffff,31927.0,4038.0,5439.0
826797fffffffff,561.0,186.0,0.0
82679ffffffffff,4975.0,1497.0,0.0
8267b7fffffffff,3.0,2.0,0.0
826d27fffffffff,240.0,144.0,0.0
826d2ffffffffff,780.0,515.0,0.0
826d37fffffffff,43.0,37.0,0.0
826d67fffffffff,1583.0,591.0,0.0
826d6ffffffffff,41863.0,11719.0,1223.0
