cell_id,Fregata magnificens,Fregata magnificens rothschildi,Fregata magnificens magnificens
841a097ffffffff,1.0,0.0,0.0
841ab0bffffffff,1.0,0.0,0.0
8426409ffffffff,8.0,0.0,0.0
842646bffffffff,2.0,0.0,0.0
84264b9ffffffff,15.0,0.0,0.0
84264c7ffffffff,2.0,0.0,0.0
84264d9ffffffff,3.0,0.0,0.0
842661bffffffff,13.0,0.0,0.0
842673bffffffff,1.0,0.0,0.0
84268cdffffffff,17.0,0.0,0.0
84268d3ffffffff,3.0,0.0,0.0
8426c53ffffffff,2.0,0.0,0.0
8426d95ffffffff,2.0,0.0,0.0
8426e5bffffffff,3.0,0.0,0.0
8426ee3ffffffff,6.0,0.0,0.0
84274a3ffffffff,25.0,0.0,0.0
842834dffffffff,2.0,0.0,0.0
8428d57ffffffff,2.0,0.0,0.0
8429127ffffffff,2.0,0.0,0.0
84298c9ffffffff,2.0,0.0,0.0
8429915ffffffff,2.0,0.0,0.0
8429957ffffffff,5.0,0.0,0.0
8429a07ffffffff,4.0,0.0,0.0
8429a41ffffffff,70.0,0.0,0.0
8429a43ffffffff,2.0,0.0,0.0
8429a47ffffffff,1.0,0.0,0.0
8429a4dffffffff,3.0,0.0,0.0
8429a57ffffffff,12.0,0.0,0.0
8429a59ffffffff,10.0,0.0,0.0
8429a61ffffffff,9.0,0.0,0.0
8429a6dffffffff,17.0,0.0,0.0
8429aadffffffff,2.0,0.0,0.0
842a15dffffffff,5.0,0.0,0.0
842a1a5ffffffff,8.0,0.0,0.0
842a307ffffffff,13.0,0.0,0.0
842a313ffffffff,16.0,0.0,0.0
842a333ffffffff,15.0,0.0,0.0
842a347ffffffff,2.0,0.0,0.0
842a4c1ffffffff,2.0,0.0,0.0
842a851ffffffff,4.0,0.0,0.0
842a9b7ffffffff,1.0,0.0,0.0
842aa4bffffffff,2.0,0.0,0.0
842aa53ffffffff,2.0,0.0,0.0
842aaadffffffff,2.0,0.0,0.0
842aad1ffffffff,46.0,0.0,0.0
842aad3ffffffff,2.0,0.0,0.0
842aad9ffffffff,2.0,0.0,0.0
842aadbffffffff,3.0,0.0,0.0
842ab05ffffffff,7.0,0.0,0.0
842ab0dffffffff,2.0,0.0,0.0
842ab29ffffffff,7.0,0.0,0.0
842ab2bffffffff,36.0,0.0,0.0
842ac6dffffffff,4.0,0.0,0.0
842ad03ffffffff,7.0,0.0,0.0
842ad0bffffffff,3.0,0.0,0.0
842ad15ffffffff,10.0,0.0,0.0
842ad37ffffffff,10.0,0.0,0.0
842ad39ffffffff,8.0,0.0,0.0
842ad51ffffffff,4.0,0.0,0.0
842ad55ffffffff,1.0,0.0,0.0
842af03ffffffff,2.0,0.0,0.0
842af07ffffffff,6.0,0.0,0.0
842af0dffffffff,2.0,0.0,0.0
842af15ffffffff,12.0,0.0,0.0
842af17ffffffff,9.0,0.0,0.0
842af37ffffffff,2.0,0.0,0.0
842af3bffffffff,2.0,0.0,0.0
842b0a1ffffffff,2.0,0.0,0.0
842b0a7ffffffff,2.0,0.0,0.0
842b125ffffffff,2.0,0.0,0.0
842b8a3ffffffff,2.0,0.0,0.0
842b991ffffffff,2.0,0.0,0.0
8435ae3ffffffff,6.0,0.0,0.0
8444093ffffffff,14.0,0.0,0.0
8444131ffffffff,20.0,0.0,0.0
8444133ffffffff,9.0,0.0,0.0
844413bffffffff,4.0,0.0,0.0
844413dffffffff,24.0,0.0,0.0
8444143ffffffff,1.0,0.0,0.0
844415dffffffff,5.0,0.0,0.0
8444161ffffffff,2.0,0.0,0.0
8444165ffffffff,2.0,0.0,0.0
844416bffffffff,2.0,0.0,0.0
84441a3ffffffff,6.0,0.0,0.0
84441a5ffffffff,1.0,0.0,0.0
84441a9ffffffff,30.0,0.0,0.0
84441abffffffff,12.0,0.0,0.0
84441b1ffffffff,2.0,0.0,0.0
84441b5ffffffff,8.0,0.0,0.0
84441b7ffffffff,4.0,0.0,0.0
84441e1ffffffff,12.0,0.0,0.0
84441e3ffffffff,43.0,0.0,0.0
84441e5ffffffff,21.0,0.0,0.0
84441e7ffffffff,10.0,0.0,0.0
84441edffffffff,9.0,0.0,0.0
8444401ffffffff,5.0,0.0,0.0
844440dffffffff,68.0,0.0,0.0
8444439ffffffff,2.0,0.0,0.0
8444441ffffffff,2.0,0.0,0.0
8444443ffffffff,8.0,0.0,0.0
8444445ffffffff,2.0,0.0,0.0
844444bffffffff,2.0,0.0,0.0
8444459ffffffff,2.0,0.0,0.0
8444461ffffffff,6.0,0.0,0.0
8444463ffffffff,1.0,0.0,0.0
8444465ffffffff,70.0,0.0,0.0
8444467ffffffff,38.0,0.0,0.0
84444c1ffffffff,1.0,0.0,0.0
