cell_id,Tyto javanica,Tyto javanica [javanica Group],Tyto javanica crassirostris
843c021ffffffff,1.0,0.0,0.0
843c029ffffffff,128.0,62.0,0.0
843c02dffffffff,4.0,0.0,0.0
843c067ffffffff,1.0,0.0,0.0
843c0a5ffffffff,2.0,0.0,0.0
843c135ffffffff,2.0,0.0,0.0
843c139ffffffff,1.0,0.0,0.0
843c14bffffffff,2.0,0.0,0.0
843c159ffffffff,2.0,0.0,0.0
843c165ffffffff,3.0,0.0,0.0
843c191ffffffff,5.0,0.0,0.0
843c199ffffffff,10.0,0.0,0.0
843c1a9ffffffff,2.0,0.0,0.0
843c1b5ffffffff,2.0,0.0,0.0
843c1e3ffffffff,2.0,0.0,0.0
843c1e9ffffffff,8.0,0.0,0.0
843c33bffffffff,5.0,0.0,0.0
843c5a9ffffffff,8.0,0.0,0.0
843c805ffffffff,5.0,0.0,0.0
843c837ffffffff,3.0,0.0,0.0
843c885ffffffff,16.0,0.0,0.0
843c899ffffffff,28.0,0.0,0.0
843c89bffffffff,2.0,0.0,0.0
843c8d9ffffffff,6.0,0.0,0.0
843c8e5ffffffff,6.0,0.0,0.0
843c8ebffffffff,1.0,0.0,0.0
843c8edffffffff,6.0,0.0,0.0
843c909ffffffff,2.0,0.0,0.0
843c923ffffffff,4.0,0.0,0.0
843c931ffffffff,9.0,0.0,0.0
843c947ffffffff,5.0,0.0,0.0
843c949ffffffff,2.0,0.0,0.0
843c959ffffffff,2.0,0.0,0.0
843c965ffffffff,5.0,0.0,0.0
843c9cbffffffff,1.0,0.0,0.0
843c9dbffffffff,2.0,0.0,0.0
843c9ddffffffff,3.0,0.0,0.0
843c9e9ffffffff,4.0,0.0,0.0
843ca25ffffffff,3.0,0.0,0.0
843ca31ffffffff,3.0,0.0,0.0
843ca41ffffffff,2.0,0.0,0.0
843ca45ffffffff,2.0,0.0,0.0
843ca87ffffffff,1.0,0.0,0.0
843ca97ffffffff,2.0,0.0,0.0
843cab7ffffffff,3.0,0.0,0.0
843cab9ffffffff,17.0,0.0,0.0
843cabdffffffff,1.0,0.0,0.0
843cb03ffffffff,4.0,0.0,0.0
843cb11ffffffff,3.0,0.0,0.0
843cb13ffffffff,1.0,0.0,0.0
843cb15ffffffff,6.0,0.0,0.0
843cb1dffffffff,165.0,0.0,0.0
843cb35ffffffff,3.0,0.0,0.0
843cb39ffffffff,7.0,0.0,0.0
843cb3bffffffff,2.0,0.0,0.0
843cb41ffffffff,2.0,0.0,0.0
843cb45ffffffff,10.0,0.0,0.0
843cb4dffffffff,1.0,0.0,0.0
843cb5dffffffff,1.0,0.0,0.0
843cb61ffffffff,2.0,0.0,0.0
843cb65ffffffff,5.0,0.0,0.0
843cb67ffffffff,7.0,0.0,0.0
843cb69ffffffff,3.0,0.0,0.0
843cb6bffffffff,7.0,0.0,0.0
843cb6dffffffff,5.0,0.0,0.0
843cc41ffffffff,1.0,0.0,0.0
843cc45ffffffff,19.0,0.0,0.0
843cc4bffffffff,3.0,0.0,0.0
843cc5bffffffff,1.0,0.0,0.0
843ccb5ffffffff,2.0,0.0,0.0
843cd91ffffffff,8.0,0.0,0.0
843ce11ffffffff,2.0,0.0,0.0
