cell_id,Todirostrum cinereum,Todirostrum cinereum [cinereum Group],Todirostrum cinereum sclateri
834520fffffffff,8.0,0.0,0.0
834521fffffffff,1.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
83452cfffffffff,2.0,0.0,0.0
83452efffffffff,2.0,2.0,0.0
836608fffffffff,10.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0
8366a5fffffffff,2.0,2.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,10.0,1.0,0.0
8366b5fffffffff,12.0,1.0,0.0
8366d0fffffffff,8.0,0.0,8.0
8366d3fffffffff,1.0,0.0,0.0
8366d4fffffffff,1.0,0.0,1.0
8366dafffffffff,1.0,1.0,0.0
8366defffffffff,9.0,0.0,9.0
8366e6fffffffff,3.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0
836741fffffffff,18.0,0.0,0.0
836742fffffffff,1.0,1.0,0.0
836743fffffffff,8.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0
83675bfffffffff,1.0,0.0,0.0
83675cfffffffff,32.0,0.0,0.0
83679afffffffff,14.0,4.0,0.0
83679bfffffffff,2.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d24fffffffff,2.0,0.0,0.0
836d25fffffffff,2.0,0.0,0.0
836d2afffffffff,18.0,0.0,0.0
836d2bfffffffff,4.0,0.0,0.0
836d2cfffffffff,18.0,11.0,0.0
836d31fffffffff,5.0,5.0,0.0
836d34fffffffff,19.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,19.0,5.0,0.0
836d6dfffffffff,4.0,0.0,0.0
836d76fffffffff,4.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0
838b6cfffffffff,3.0,3.0,0.0
838f2afffffffff,2.0,0.0,2.0
838f4afffffffff,2.0,0.0,0.0
838f4bfffffffff,13.0,0.0,0.0
838f50fffffffff,1.0,0.0,1.0
83a826fffffffff,3.0,0.0,0.0
83a835fffffffff,6.0,0.0,0.0
83a8a2fffffffff,1.0,0.0,0.0
83a90bfffffffff,2.0,0.0,0.0
83a918fffffffff,6.0,0.0,0.0
83a91bfffffffff,7.0,0.0,0.0
83a91dfffffffff,6.0,0.0,0.0
83a946fffffffff,10.0,0.0,0.0
83a95efffffffff,2.0,0.0,0.0
83a962fffffffff,4.0,0.0,0.0
83a971fffffffff,5.0,0.0,0.0
