cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
84201a3ffffffff,2.0,0.0,0.0
84201a7ffffffff,2.0,0.0,0.0
84201abffffffff,1.0,0.0,0.0
8420809ffffffff,1.0,0.0,0.0
8420815ffffffff,2.0,0.0,0.0
8420823ffffffff,1.0,0.0,0.0
8420839ffffffff,1.0,0.0,0.0
842083bffffffff,5.0,0.0,0.0
8420841ffffffff,2.0,0.0,0.0
8420847ffffffff,1.0,0.0,0.0
8420887ffffffff,1.0,0.0,0.0
84208a5ffffffff,1.0,0.0,0.0
84208a7ffffffff,1.0,0.0,0.0
8420983ffffffff,6.0,0.0,0.0
8420987ffffffff,1.0,0.0,0.0
8420999ffffffff,11.0,0.0,0.0
842099bffffffff,8.0,0.0,0.0
84209b7ffffffff,1.0,0.0,0.0
84209cbffffffff,1.0,0.0,0.0
8420a23ffffffff,6.0,0.0,0.0
8420b15ffffffff,2.0,0.0,0.0
8420e25ffffffff,2.0,0.0,0.0
842c001ffffffff,7.0,0.0,0.0
842c003ffffffff,6.0,0.0,0.0
842c00bffffffff,5.0,0.0,0.0
842c011ffffffff,10.0,0.0,0.0
842c015ffffffff,10.0,0.0,0.0
842c019ffffffff,5.0,0.0,0.0
842c01bffffffff,7.0,0.0,0.0
842c01dffffffff,2.0,0.0,0.0
842c033ffffffff,2.0,0.0,0.0
842c03bffffffff,3.0,0.0,0.0
842c043ffffffff,719.0,0.0,0.0
842c049ffffffff,33.0,0.0,0.0
842c04bffffffff,13.0,0.0,0.0
842c053ffffffff,1.0,0.0,0.0
842c055ffffffff,3.0,0.0,0.0
842c057ffffffff,2.0,0.0,0.0
842c059ffffffff,10.0,0.0,0.0
842c05bffffffff,4.0,2.0,0.0
842c05dffffffff,2.0,0.0,0.0
842c063ffffffff,1.0,0.0,0.0
842c09dffffffff,11.0,0.0,0.0
842c0c7ffffffff,1.0,0.0,0.0
842c0c9ffffffff,6.0,3.0,0.0
842c0cbffffffff,3.0,3.0,0.0
842c191ffffffff,4.0,0.0,0.0
842c1d9ffffffff,2.0,0.0,0.0
842c1ddffffffff,1.0,0.0,0.0
842c203ffffffff,3.0,0.0,0.0
842c205ffffffff,1.0,0.0,0.0
842c215ffffffff,40.0,11.0,0.0
842c21dffffffff,5.0,4.0,0.0
842c229ffffffff,7.0,0.0,0.0
842c22dffffffff,15.0,0.0,0.0
842c231ffffffff,2.0,0.0,0.0
