cell_id,Pteruthius intermedius,Pteruthius intermedius aenobarbulus,Pteruthius intermedius intermedius
844045dffffffff,3.0,0.0,0.0
84404c3ffffffff,1.0,0.0,0.0
84404c5ffffffff,13.0,0.0,0.0
84404ddffffffff,2.0,0.0,0.0
84404e1ffffffff,3.0,0.0,0.0
8440615ffffffff,2.0,0.0,0.0
8440651ffffffff,8.0,0.0,0.0
8440653ffffffff,4.0,0.0,0.0
84406b7ffffffff,3.0,0.0,0.0
84406cdffffffff,1.0,0.0,0.0
84414b3ffffffff,1.0,0.0,1.0
84414e3ffffffff,1.0,0.0,0.0
8441591ffffffff,1.0,0.0,1.0
84415c3ffffffff,4.0,0.0,2.0
8441659ffffffff,2.0,0.0,0.0
844165bffffffff,3.0,0.0,0.0
8441719ffffffff,1.0,0.0,0.0
8464821ffffffff,51.0,0.0,22.0
8464825ffffffff,8.0,0.0,5.0
8464827ffffffff,2.0,0.0,2.0
846482bffffffff,494.0,0.0,147.0
846482dffffffff,1.0,0.0,0.0
846484bffffffff,1.0,0.0,0.0
8464903ffffffff,3.0,0.0,2.0
8464911ffffffff,113.0,0.0,28.0
8464921ffffffff,1.0,0.0,0.0
8464949ffffffff,1.0,0.0,0.0
846494bffffffff,2.0,0.0,0.0
8464953ffffffff,1.0,0.0,0.0
8464983ffffffff,1.0,0.0,0.0
8464a31ffffffff,2.0,0.0,0.0
8464a35ffffffff,19.0,0.0,9.0
8464a3dffffffff,1.0,0.0,0.0
8464b0bffffffff,13.0,0.0,5.0
8464b39ffffffff,1.0,0.0,0.0
8464b55ffffffff,1.0,0.0,0.0
8464b5dffffffff,1.0,0.0,0.0
846592dffffffff,1.0,0.0,0.0
8465b0dffffffff,2.0,0.0,2.0
8465b2bffffffff,18.0,0.0,0.0
8465b39ffffffff,2.0,0.0,0.0
8465b3dffffffff,11.0,0.0,0.0
8465b61ffffffff,49.0,0.0,8.0
8465b63ffffffff,3.0,0.0,1.0
8465b65ffffffff,12.0,0.0,1.0
8465b67ffffffff,80.0,0.0,9.0
8465b6bffffffff,26.0,0.0,5.0
8469341ffffffff,8.0,0.0,0.0
8469345ffffffff,41.0,0.0,7.0
8469347ffffffff,2.0,0.0,2.0
846934dffffffff,9.0,0.0,2.0
