cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
841ec1dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ec39ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ec47ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841eccbffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ece9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ee55ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ee91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841eea3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841eeadffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841eeb7ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841ef0bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f133ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f137ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f519ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f51dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f715ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f725ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f727ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f72dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f827ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f83bffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f887ffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f8b9ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f8d1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f91bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f98bffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f99dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841f9cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841fa17ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841fb47ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8420453ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84255a3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84255b1ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84255b5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c191ffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
842c193ffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
842c1b7ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c203ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
842c283ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842c56dffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842c8ebffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842d183ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842d303ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842d64dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842db03ffffffff,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
842db05ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
842db0bffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842db11ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
842e127ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
842e135ffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
842e1a5ffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
842eac9ffffffff,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
842eacbffffffff,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0
842ead3ffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
842ead9ffffffff,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
842eaddffffffff,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
8430305ffffffff,34.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
8438625ffffffff,29.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
843862dffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8438635ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
843863dffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8438667ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8438715ffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8438743ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8438751ffffffff,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
8438753ffffffff,22.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
843875bffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8439003ffffffff,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843900dffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439015ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439019ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843901bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843901dffffffff,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439043ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439047ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843904bffffffff,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439053ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439063ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843906dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439101ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439103ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843910bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439115ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439119ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843915dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439181ffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843919bffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84391ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843921bffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439221ffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439223ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439227ffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439253ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439287ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8439299ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84392c9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84392cbffffffff,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
