cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
8302cafffffffff,2.0,0.0,0.0,0.0
830c01fffffffff,12.0,0.0,0.0,0.0
830c02fffffffff,2.0,0.0,0.0,0.0
830c03fffffffff,112.0,0.0,0.0,0.0
830c04fffffffff,19.0,0.0,0.0,0.0
830c05fffffffff,11.0,0.0,0.0,0.0
830c06fffffffff,25.0,0.0,0.0,0.0
830c0bfffffffff,73.0,0.0,0.0,0.0
830c14fffffffff,5414.0,0.0,0.0,0.0
830c15fffffffff,609.0,0.0,0.0,0.0
830c18fffffffff,5.0,0.0,0.0,0.0
830c1bfffffffff,84.0,0.0,0.0,0.0
830c1efffffffff,94.0,0.0,0.0,0.0
830c21fffffffff,41.0,0.0,0.0,0.0
830c23fffffffff,56.0,0.0,0.0,0.0
830c25fffffffff,13.0,0.0,0.0,0.0
830c29fffffffff,1.0,0.0,0.0,0.0
830c2afffffffff,67.0,0.0,0.0,0.0
830c2cfffffffff,146.0,0.0,0.0,0.0
830c2dfffffffff,5.0,0.0,0.0,0.0
830c2efffffffff,1.0,0.0,0.0,0.0
830c30fffffffff,44.0,0.0,0.0,0.0
830c32fffffffff,4.0,0.0,0.0,0.0
830c33fffffffff,271.0,0.0,0.0,0.0
830c34fffffffff,52.0,0.0,0.0,0.0
830c35fffffffff,7.0,0.0,0.0,0.0
830c40fffffffff,1.0,0.0,0.0,0.0
830c41fffffffff,222.0,0.0,0.0,0.0
830c42fffffffff,1577.0,0.0,0.0,0.0
830c44fffffffff,80.0,0.0,0.0,0.0
830c45fffffffff,196.0,0.0,0.0,0.0
830c46fffffffff,804.0,0.0,2.0,0.0
830c50fffffffff,138.0,0.0,0.0,0.0
830c51fffffffff,1375.0,0.0,2.0,0.0
830c52fffffffff,11.0,0.0,0.0,0.0
830c54fffffffff,249.0,0.0,0.0,0.0
830c55fffffffff,904.0,0.0,0.0,0.0
830c56fffffffff,10.0,0.0,0.0,0.0
830c5afffffffff,70.0,0.0,0.0,0.0
830c60fffffffff,31.0,0.0,0.0,0.0
830c61fffffffff,19.0,0.0,0.0,0.0
830c62fffffffff,337.0,0.0,0.0,0.0
830c63fffffffff,86.0,0.0,0.0,0.0
830c64fffffffff,173.0,0.0,1.0,0.0
830c65fffffffff,164.0,0.0,0.0,0.0
830c66fffffffff,360.0,0.0,11.0,0.0
830c68fffffffff,6.0,0.0,0.0,0.0
830c6afffffffff,6.0,0.0,0.0,0.0
830c70fffffffff,447.0,0.0,32.0,0.0
830c71fffffffff,385.0,0.0,3.0,0.0
830c72fffffffff,6.0,0.0,4.0,0.0
830c73fffffffff,7694.0,0.0,311.0,0.0
830c74fffffffff,1501.0,0.0,72.0,0.0
830c75fffffffff,225.0,0.0,9.0,0.0
830c76fffffffff,101.0,0.0,2.0,0.0
830ce1fffffffff,15.0,0.0,0.0,0.0
830ce2fffffffff,2.0,0.0,0.0,0.0
830ce3fffffffff,4.0,0.0,0.0,0.0
830ceafffffffff,2.0,0.0,0.0,0.0
830cecfffffffff,36.0,0.0,0.0,0.0
830ceefffffffff,106.0,0.0,0.0,0.0
830cf4fffffffff,5.0,0.0,0.0,0.0
830d03fffffffff,35.0,0.0,0.0,0.0
830d09fffffffff,130.0,0.0,0.0,0.0
830d0bfffffffff,8.0,0.0,0.0,0.0
830d0dfffffffff,1.0,0.0,0.0,0.0
830d1bfffffffff,21.0,0.0,0.0,0.0
830d40fffffffff,61.0,0.0,0.0,0.0
830d42fffffffff,48.0,0.0,0.0,0.0
830d44fffffffff,30.0,0.0,0.0,0.0
830d46fffffffff,56.0,0.0,0.0,0.0
