cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
832013fffffffff,1.0,0.0,1.0
83201bfffffffff,1.0,0.0,0.0
832099fffffffff,6.0,0.0,0.0
8320a2fffffffff,3.0,0.0,0.0
8320e6fffffffff,5.0,0.0,1.0
833099fffffffff,2.0,0.0,0.0
83309bfffffffff,4.0,0.0,0.0
833185fffffffff,2.0,2.0,0.0
83318dfffffffff,3.0,0.0,0.0
833c06fffffffff,5.0,0.0,4.0
833c0afffffffff,17.0,0.0,0.0
833c0bfffffffff,4.0,0.0,4.0
833c19fffffffff,5.0,0.0,0.0
833c1dfffffffff,11.0,0.0,2.0
833c32fffffffff,2.0,0.0,2.0
833c33fffffffff,6.0,0.0,6.0
833c36fffffffff,12.0,0.0,3.0
833c42fffffffff,2.0,0.0,2.0
833c43fffffffff,6.0,0.0,6.0
833c56fffffffff,12.0,0.0,12.0
833c58fffffffff,20.0,0.0,18.0
833c5cfffffffff,2.0,0.0,2.0
833cc4fffffffff,3.0,0.0,0.0
833cc6fffffffff,3.0,0.0,0.0
833ce1fffffffff,1.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0
833ce5fffffffff,3.0,0.0,3.0
833cedfffffffff,1.0,0.0,0.0
833d04fffffffff,2.0,0.0,0.0
833d10fffffffff,1.0,0.0,1.0
833d13fffffffff,9.0,0.0,3.0
833d14fffffffff,7.0,0.0,0.0
833d16fffffffff,2.0,0.0,0.0
833d22fffffffff,3.0,0.0,0.0
833d31fffffffff,7.0,0.0,0.0
833d32fffffffff,4.0,0.0,2.0
833d34fffffffff,7.0,0.0,5.0
833d35fffffffff,12.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0
833dadfffffffff,47.0,0.0,44.0
8340b5fffffffff,4.0,4.0,0.0
8340e8fffffffff,2.0,0.0,2.0
8340ecfffffffff,2.0,0.0,2.0
83415cfffffffff,5.0,5.0,0.0
83416bfffffffff,2.0,2.0,0.0
834192fffffffff,6.0,0.0,0.0
8341a4fffffffff,5.0,0.0,0.0
8341a5fffffffff,1.0,0.0,0.0
8341adfffffffff,2.0,2.0,0.0
8341b5fffffffff,4.0,0.0,0.0
834249fffffffff,3.0,0.0,0.0
834ba6fffffffff,1.0,0.0,0.0
836490fffffffff,1.0,0.0,1.0
836491fffffffff,3.0,0.0,1.0
8364a4fffffffff,2.0,2.0,0.0
836500fffffffff,6.0,0.0,0.0
836503fffffffff,5.0,0.0,0.0
836505fffffffff,11.0,0.0,0.0
836518fffffffff,7.0,0.0,0.0
836519fffffffff,2.0,0.0,0.0
836526fffffffff,2.0,2.0,0.0
836934fffffffff,1.0,0.0,1.0
