cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
835f01fffffffff,12.0,0.0,0.0
835f02fffffffff,6.0,0.0,0.0
835f03fffffffff,178.0,5.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f08fffffffff,5.0,0.0,0.0
835f09fffffffff,9.0,0.0,0.0
835f0dfffffffff,14.0,0.0,0.0
835f10fffffffff,3.0,0.0,0.0
835f12fffffffff,20.0,0.0,0.0
835f13fffffffff,9.0,0.0,0.0
835f14fffffffff,32.0,0.0,0.0
835f16fffffffff,36.0,0.0,0.0
835f1cfffffffff,32.0,0.0,0.0
835f1efffffffff,1.0,0.0,0.0
835f28fffffffff,3.0,0.0,0.0
835f29fffffffff,14.0,0.0,0.0
835f2bfffffffff,1269.0,0.0,0.0
835f2dfffffffff,9.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,62.0,2.0,0.0
835f41fffffffff,6.0,0.0,0.0
835f42fffffffff,40.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,15.0,0.0,0.0
835f48fffffffff,4.0,0.0,0.0
835f4afffffffff,10.0,0.0,0.0
835f4bfffffffff,12.0,0.0,0.0
835f54fffffffff,33.0,0.0,0.0
835f58fffffffff,488.0,0.0,0.0
835f5bfffffffff,11.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,58.0,0.0,0.0
835f70fffffffff,4.0,1.0,0.0
835f71fffffffff,71.0,0.0,0.0
835f75fffffffff,95.0,1.0,0.0
835f76fffffffff,1.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0
836601fffffffff,7.0,0.0,0.0
836602fffffffff,162.0,0.0,0.0
836603fffffffff,12.0,0.0,0.0
836604fffffffff,91.0,0.0,0.0
836606fffffffff,134.0,0.0,0.0
836608fffffffff,1859.0,10.0,0.0
836609fffffffff,4.0,0.0,0.0
83660afffffffff,954.0,9.0,0.0
83660bfffffffff,4.0,0.0,0.0
83660cfffffffff,17.0,0.0,0.0
83660dfffffffff,70.0,0.0,0.0
83660efffffffff,32.0,0.0,0.0
836610fffffffff,2126.0,0.0,0.0
836611fffffffff,189.0,0.0,0.0
836612fffffffff,30.0,0.0,0.0
836613fffffffff,1356.0,0.0,0.0
836616fffffffff,631.0,0.0,0.0
