cell_id,Heterophasia desgodinsi,Heterophasia desgodinsi desgodinsi/tonkinensis,Heterophasia desgodinsi engelbachi/kingi,Heterophasia desgodinsi robinsoni
834001fffffffff,1.0,0.0,0.0,0.0
834002fffffffff,1.0,0.0,0.0,0.0
834003fffffffff,3.0,0.0,0.0,0.0
834013fffffffff,4.0,0.0,0.0,0.0
834018fffffffff,1.0,0.0,0.0,0.0
834019fffffffff,1.0,0.0,0.0,0.0
83401dfffffffff,4.0,0.0,0.0,0.0
834029fffffffff,1.0,0.0,0.0,0.0
834040fffffffff,9.0,0.0,0.0,0.0
834041fffffffff,3.0,0.0,0.0,0.0
834043fffffffff,71.0,0.0,0.0,0.0
834044fffffffff,78.0,2.0,0.0,0.0
834045fffffffff,15.0,0.0,0.0,0.0
83404cfffffffff,463.0,9.0,0.0,0.0
83404dfffffffff,18.0,0.0,0.0,0.0
83404efffffffff,5.0,0.0,0.0,0.0
834050fffffffff,1.0,0.0,0.0,0.0
834058fffffffff,9.0,0.0,0.0,0.0
834059fffffffff,1.0,0.0,0.0,0.0
83405cfffffffff,30.0,2.0,0.0,0.0
83405dfffffffff,9.0,0.0,0.0,0.0
83405efffffffff,1.0,0.0,0.0,0.0
834060fffffffff,1.0,0.0,0.0,0.0
834061fffffffff,3.0,1.0,0.0,0.0
834062fffffffff,1.0,1.0,0.0,0.0
834063fffffffff,1.0,0.0,0.0,0.0
834065fffffffff,7.0,0.0,0.0,0.0
834066fffffffff,6.0,0.0,0.0,0.0
83406bfffffffff,19.0,1.0,0.0,0.0
834071fffffffff,18.0,1.0,0.0,0.0
8340a8fffffffff,1.0,0.0,0.0,0.0
8340aefffffffff,2.0,0.0,0.0,0.0
8340c5fffffffff,2.0,0.0,0.0,0.0
8340e1fffffffff,36.0,0.0,0.0,0.0
8340e3fffffffff,20.0,0.0,0.0,0.0
8340e5fffffffff,2.0,0.0,0.0,0.0
8340ecfffffffff,1.0,0.0,0.0,0.0
8340eefffffffff,2.0,0.0,0.0,0.0
834159fffffffff,1.0,0.0,0.0,0.0
83415afffffffff,12.0,0.0,0.0,0.0
834165fffffffff,1.0,0.0,0.0,0.0
836498fffffffff,6.0,0.0,0.0,0.0
836592fffffffff,2.0,0.0,0.0,0.0
