cell_id,Apus affinis,Apus affinis [affinis Group],Apus affinis bannermani,Apus affinis singalensis
822087fffffffff,2.0,0.0,0.0,0.0
82209ffffffffff,100.0,0.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0,0.0
822c17fffffffff,1.0,0.0,0.0,0.0
822c37fffffffff,2.0,0.0,0.0,0.0
822d17fffffffff,13.0,0.0,0.0,0.0
822da7fffffffff,123.0,0.0,0.0,0.0
822daffffffffff,131.0,0.0,0.0,0.0
822db7fffffffff,423.0,15.0,0.0,0.0
823817fffffffff,4.0,0.0,0.0,0.0
823837fffffffff,3.0,0.0,0.0,0.0
823847fffffffff,3.0,0.0,0.0,0.0
82384ffffffffff,1.0,0.0,0.0,0.0
82386ffffffffff,12.0,0.0,0.0,0.0
82391ffffffffff,631.0,0.0,0.0,0.0
823987fffffffff,398.0,0.0,0.0,0.0
82398ffffffffff,100.0,0.0,0.0,0.0
823997fffffffff,66.0,0.0,0.0,0.0
82399ffffffffff,15.0,0.0,0.0,0.0
8239affffffffff,63.0,0.0,0.0,0.0
823c17fffffffff,156.0,0.0,0.0,0.0
823c1ffffffffff,27.0,0.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0,0.0
823c87fffffffff,177.0,0.0,0.0,0.0
823c8ffffffffff,424.0,0.0,0.0,0.0
823c97fffffffff,611.0,0.0,0.0,0.0
823c9ffffffffff,49.0,0.0,0.0,0.0
823ca7fffffffff,136.0,0.0,0.0,0.0
823caffffffffff,119.0,0.0,0.0,0.0
823cb7fffffffff,2407.0,0.0,0.0,0.0
823cf7fffffffff,2485.0,0.0,0.0,37.0
823d17fffffffff,2270.0,0.0,0.0,0.0
823d1ffffffffff,23.0,0.0,0.0,0.0
823d37fffffffff,70.0,0.0,0.0,0.0
823d87fffffffff,1045.0,0.0,0.0,0.0
823d8ffffffffff,211.0,0.0,0.0,0.0
823d97fffffffff,976.0,0.0,0.0,0.0
823d9ffffffffff,935.0,0.0,0.0,0.0
823da7fffffffff,1735.0,0.0,0.0,0.0
823daffffffffff,517.0,0.0,0.0,0.0
823db7fffffffff,742.0,0.0,0.0,0.0
823e6ffffffffff,61.0,0.0,0.0,0.0
824247fffffffff,1.0,0.0,0.0,0.0
82424ffffffffff,17.0,0.0,0.0,0.0
824257fffffffff,41.0,0.0,0.0,0.0
82425ffffffffff,188.0,0.0,0.0,0.0
82426ffffffffff,203.0,4.0,0.0,0.0
8242c7fffffffff,1095.0,0.0,0.0,0.0
8242cffffffffff,1514.0,0.0,0.0,0.0
8242d7fffffffff,3.0,0.0,0.0,0.0
8242dffffffffff,1035.0,0.0,0.0,0.0
8242e7fffffffff,101.0,0.0,0.0,0.0
8242effffffffff,117.0,0.0,0.0,0.0
82431ffffffffff,19.0,0.0,0.0,0.0
824337fffffffff,1.0,0.0,0.0,0.0
824357fffffffff,4.0,0.0,0.0,0.0
82439ffffffffff,1.0,0.0,0.0,0.0
825207fffffffff,83.0,0.0,0.0,0.0
825217fffffffff,28.0,0.0,0.0,0.0
82521ffffffffff,24.0,0.0,0.0,0.0
825237fffffffff,29.0,0.0,0.0,0.0
82526ffffffffff,1.0,0.0,0.0,0.0
825287fffffffff,2.0,0.0,0.0,0.0
82528ffffffffff,5.0,0.0,0.0,0.0
825297fffffffff,7.0,0.0,0.0,0.0
82529ffffffffff,17.0,0.0,0.0,0.0
8252d7fffffffff,70.0,0.0,0.0,0.0
8253affffffffff,2.0,0.0,0.0,0.0
825407fffffffff,33.0,14.0,0.0,0.0
82540ffffffffff,1.0,0.0,0.0,0.0
825417fffffffff,127.0,34.0,0.0,0.0
82541ffffffffff,310.0,28.0,0.0,0.0
825437fffffffff,8.0,0.0,0.0,0.0
825447fffffffff,2.0,0.0,0.0,0.0
