cell_id,Myiobius atricaudus,Myiobius atricaudus [atricaudus Group],Myiobius atricaudus ridgwayi
836619fffffffff,38.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
83665afffffffff,2.0,0.0,0.0
8366a0fffffffff,4.0,0.0,0.0
8366a3fffffffff,3.0,0.0,0.0
8366a5fffffffff,5.0,0.0,0.0
8366b0fffffffff,2.0,2.0,0.0
8366d0fffffffff,18.0,0.0,0.0
8366d3fffffffff,9.0,0.0,0.0
8366defffffffff,8.0,0.0,0.0
836d69fffffffff,4.0,0.0,0.0
83819dfffffffff,1.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0
838a45fffffffff,1.0,1.0,0.0
838f0dfffffffff,11.0,0.0,0.0
838f72fffffffff,4.0,0.0,0.0
