cell_id,Tauraco macrorhynchus,Tauraco macrorhynchus macrorhynchus,Tauraco macrorhynchus verreauxii
8254effffffffff,1.0,0.0,0.0
825897fffffffff,3.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258d7fffffffff,119.0,0.0,90.0
8258dffffffffff,15.0,0.0,12.0
827507fffffffff,1.0,0.0,0.0
82750ffffffffff,836.0,93.0,0.0
82751ffffffffff,17.0,0.0,0.0
82752ffffffffff,227.0,32.0,0.0
827587fffffffff,4.0,0.0,0.0
8275a7fffffffff,7.0,0.0,0.0
8275affffffffff,8.0,0.0,0.0
8275b7fffffffff,8.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0
828287fffffffff,10.0,0.0,0.0
82828ffffffffff,341.0,0.0,147.0
8282a7fffffffff,31.0,0.0,1.0
8282affffffffff,46.0,0.0,11.0
8282d7fffffffff,139.0,0.0,74.0
8282f7fffffffff,11.0,0.0,4.0
82838ffffffffff,1.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
