cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8212d7fffffffff,114.0,0.0,0.0,0.0
8212dffffffffff,1237.0,0.0,0.0,0.0
822647fffffffff,39.0,0.0,0.0,0.0
822657fffffffff,252.0,0.0,0.0,0.0
82265ffffffffff,43.0,0.0,0.0,0.0
822687fffffffff,99.0,0.0,0.0,0.0
82268ffffffffff,3063.0,0.0,0.0,0.0
822697fffffffff,349.0,0.0,0.0,0.0
82269ffffffffff,3022.0,0.0,104.0,0.0
8226b7fffffffff,39.0,0.0,0.0,0.0
8226c7fffffffff,1531.0,0.0,0.0,0.0
8226cffffffffff,6770.0,0.0,0.0,0.0
8226d7fffffffff,1692.0,0.0,0.0,0.0
8226dffffffffff,3550.0,0.0,0.0,0.0
8226e7fffffffff,176.0,0.0,0.0,0.0
8226effffffffff,306.0,0.0,0.0,0.0
8226f7fffffffff,128.0,0.0,0.0,0.0
822807fffffffff,1272.0,0.0,0.0,0.0
822817fffffffff,5382.0,0.0,0.0,1.0
82281ffffffffff,11134.0,0.0,0.0,30.0
822837fffffffff,126876.0,0.0,0.0,3555.0
822887fffffffff,3309.0,0.0,0.0,0.0
82288ffffffffff,8610.0,0.0,0.0,0.0
82289ffffffffff,131.0,0.0,0.0,0.0
8228a7fffffffff,88.0,0.0,0.0,0.0
8228affffffffff,240.0,0.0,0.0,0.0
8228b7fffffffff,32.0,0.0,0.0,0.0
8228c7fffffffff,2829.0,0.0,0.0,0.0
8228d7fffffffff,74499.0,0.0,0.0,0.0
8228dffffffffff,17573.0,0.0,0.0,0.0
8228f7fffffffff,45856.0,0.0,0.0,0.0
822917fffffffff,9253.0,0.0,0.0,305.0
82291ffffffffff,8086.0,0.0,0.0,4669.0
822987fffffffff,3946.0,0.0,0.0,0.0
82298ffffffffff,7776.0,0.0,5.0,0.0
822997fffffffff,2806.0,0.0,9.0,0.0
82299ffffffffff,33.0,0.0,0.0,0.0
8229a7fffffffff,80330.0,0.0,0.0,0.0
8229affffffffff,26105.0,0.0,0.0,915.0
8229b7fffffffff,10692.0,0.0,0.0,0.0
82444ffffffffff,23.0,0.0,0.0,0.0
82446ffffffffff,130.0,0.0,0.0,0.0
82480ffffffffff,13.0,0.0,0.0,0.0
824817fffffffff,809.0,0.0,0.0,0.0
82481ffffffffff,115.0,0.0,0.0,0.0
82482ffffffffff,2.0,0.0,0.0,0.0
824847fffffffff,262.0,0.0,0.0,0.0
82484ffffffffff,218.0,0.0,0.0,0.0
824857fffffffff,74.0,0.0,4.0,0.0
82485ffffffffff,1548.0,0.0,0.0,0.0
824877fffffffff,165.0,0.0,0.0,0.0
824887fffffffff,7516.0,0.0,2.0,0.0
82488ffffffffff,4892.0,0.0,0.0,0.0
824897fffffffff,1652.0,0.0,0.0,0.0
82489ffffffffff,40932.0,0.0,4.0,0.0
8248a7fffffffff,1853.0,0.0,0.0,0.0
8248affffffffff,2438.0,0.0,0.0,0.0
8248b7fffffffff,8221.0,0.0,0.0,0.0
8248c7fffffffff,12459.0,0.0,1153.0,0.0
8248cffffffffff,1979.0,0.0,78.0,0.0
8248d7fffffffff,1740.0,0.0,0.0,0.0
8248dffffffffff,16527.0,0.0,0.0,0.0
8248e7fffffffff,898.0,0.0,81.0,0.0
8248effffffffff,76144.0,0.0,10224.0,0.0
8248f7fffffffff,4816.0,0.0,91.0,0.0
824987fffffffff,2894.0,0.0,328.0,0.0
82498ffffffffff,637.0,0.0,2.0,0.0
824997fffffffff,13594.0,0.0,1412.0,0.0
82499ffffffffff,231.0,0.0,0.0,0.0
8249affffffffff,1520.0,0.0,73.0,0.0
8249b7fffffffff,862.0,0.0,30.0,0.0
826d37fffffffff,2987.0,0.0,426.0,0.0
