cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
8254affffffffff,2.0,2.0,0.0
8254e7fffffffff,2.0,0.0,0.0
826a6ffffffffff,3.0,0.0,0.0
827a4ffffffffff,2.0,0.0,0.0
827a77fffffffff,3.0,3.0,0.0
827acffffffffff,4.0,4.0,0.0
827adffffffffff,2.0,2.0,0.0
827b4ffffffffff,125.0,0.0,68.0
829707fffffffff,3.0,0.0,3.0
82972ffffffffff,14.0,10.0,0.0
82974ffffffffff,4.0,4.0,0.0
82975ffffffffff,4.0,4.0,0.0
82bc8ffffffffff,1.0,0.0,1.0
82bcd7fffffffff,3.0,0.0,3.0
82bcdffffffffff,6.0,6.0,0.0
