cell_id,Ptilinopus regina,Ptilinopus regina xanthogaster/roseipileum,Ptilinopus regina [regina Group]
8472901ffffffff,2.0,0.0,0.0
8472905ffffffff,14.0,0.0,0.0
847290dffffffff,10.0,0.0,0.0
8494049ffffffff,5.0,0.0,0.0
849404bffffffff,3.0,0.0,0.0
849404dffffffff,28.0,0.0,0.0
8494187ffffffff,3.0,0.0,0.0
84941a1ffffffff,3.0,0.0,0.0
8494213ffffffff,2.0,0.0,0.0
8494219ffffffff,2.0,0.0,0.0
8494227ffffffff,2.0,0.0,0.0
8494231ffffffff,4.0,0.0,0.0
8494235ffffffff,57.0,0.0,0.0
8494237ffffffff,31.0,0.0,0.0
8494289ffffffff,9.0,0.0,0.0
84942c1ffffffff,6.0,0.0,0.0
84942c3ffffffff,2.0,0.0,0.0
84942cdffffffff,2.0,0.0,0.0
84942d3ffffffff,46.0,0.0,0.0
84942d5ffffffff,13.0,0.0,0.0
84942ddffffffff,6.0,0.0,0.0
8494311ffffffff,10.0,0.0,0.0
8494313ffffffff,12.0,0.0,0.0
849442bffffffff,1.0,0.0,0.0
8494501ffffffff,6.0,0.0,0.0
8494503ffffffff,16.0,0.0,0.0
8494505ffffffff,1.0,0.0,0.0
8494507ffffffff,16.0,0.0,0.0
849450bffffffff,101.0,0.0,0.0
8494511ffffffff,313.0,0.0,0.0
8494513ffffffff,10.0,0.0,0.0
8494515ffffffff,17.0,0.0,0.0
8494517ffffffff,5.0,0.0,0.0
849451bffffffff,2.0,0.0,0.0
849451dffffffff,498.0,0.0,0.0
8494535ffffffff,9.0,0.0,0.0
8494539ffffffff,38.0,0.0,0.0
8494551ffffffff,1.0,0.0,0.0
8494559ffffffff,13.0,0.0,0.0
849458dffffffff,2.0,0.0,0.0
8494593ffffffff,4.0,0.0,0.0
84945c3ffffffff,30.0,0.0,0.0
84945c5ffffffff,10.0,0.0,0.0
84945e3ffffffff,2.0,0.0,0.0
84945ebffffffff,12.0,0.0,0.0
8494601ffffffff,100.0,0.0,0.0
849466dffffffff,21.0,0.0,0.0
8494ad3ffffffff,3.0,0.0,0.0
8494ae3ffffffff,39.0,0.0,0.0
8495533ffffffff,2.0,0.0,0.0
8495537ffffffff,1.0,0.0,0.0
8495583ffffffff,15.0,0.0,0.0
84955a1ffffffff,13.0,0.0,0.0
84955a3ffffffff,2.0,0.0,0.0
849c003ffffffff,14.0,0.0,0.0
849c009ffffffff,47.0,0.0,0.0
849c00bffffffff,16.0,0.0,0.0
849c055ffffffff,1.0,0.0,0.0
849c05dffffffff,31.0,0.0,0.0
849c191ffffffff,133.0,0.0,0.0
849c195ffffffff,2.0,0.0,0.0
849c199ffffffff,5.0,0.0,0.0
849c19dffffffff,132.0,0.0,0.0
849c203ffffffff,9.0,0.0,0.0
849c207ffffffff,2.0,0.0,0.0
849c20bffffffff,6.0,0.0,0.0
849c215ffffffff,7.0,0.0,0.0
849c231ffffffff,350.0,0.0,0.0
849c237ffffffff,70.0,0.0,0.0
849c239ffffffff,129.0,0.0,0.0
849c23bffffffff,4.0,0.0,0.0
849c23dffffffff,62.0,0.0,0.0
849c251ffffffff,3.0,0.0,0.0
849c255ffffffff,5.0,0.0,0.0
849c257ffffffff,3.0,0.0,0.0
849c259ffffffff,4.0,0.0,0.0
849c25dffffffff,5.0,0.0,0.0
849c581ffffffff,2.0,0.0,0.0
849c583ffffffff,1.0,0.0,0.0
849c587ffffffff,4.0,0.0,0.0
849c589ffffffff,8.0,0.0,0.0
849c5a5ffffffff,10.0,0.0,0.0
849c5a7ffffffff,1.0,0.0,0.0
849c5d7ffffffff,4.0,0.0,0.0
849c5e3ffffffff,2.0,0.0,0.0
849ce25ffffffff,1.0,0.0,0.0
849ce2dffffffff,2.0,0.0,0.0
849ce47ffffffff,7.0,0.0,0.0
849ce9bffffffff,73.0,0.0,0.0
849cf19ffffffff,7.0,0.0,0.0
849cf53ffffffff,20.0,0.0,0.0
849d013ffffffff,36.0,0.0,0.0
849d01bffffffff,13.0,0.0,0.0
849d0b5ffffffff,15.0,0.0,0.0
849d0b7ffffffff,2.0,0.0,0.0
849d0bdffffffff,12.0,0.0,0.0
849d0c1ffffffff,1.0,0.0,0.0
849d0c5ffffffff,14.0,0.0,0.0
849d0cdffffffff,84.0,0.0,0.0
849d0e1ffffffff,8.0,0.0,0.0
849d0e9ffffffff,8.0,0.0,0.0
849d0edffffffff,2.0,0.0,0.0
849d211ffffffff,5.0,0.0,0.0
849d215ffffffff,6.0,0.0,0.0
849d217ffffffff,6.0,0.0,0.0
849d21dffffffff,10.0,0.0,0.0
849d233ffffffff,2.0,0.0,0.0
849d23bffffffff,17.0,0.0,0.0
849d24bffffffff,46.0,0.0,0.0
849d255ffffffff,9.0,0.0,0.0
849d257ffffffff,10.0,0.0,0.0
849d25bffffffff,5.0,0.0,0.0
849d2a5ffffffff,4.0,0.0,0.0
