cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
82159ffffffffff,5.0,0.0,0.0
82204ffffffffff,2.0,0.0,0.0
822407fffffffff,1.0,0.0,0.0
822427fffffffff,1.0,0.0,0.0
822e17fffffffff,2.0,0.0,0.0
822e67fffffffff,1.0,0.0,0.0
822e77fffffffff,1.0,0.0,0.0
822eaffffffffff,1.0,0.0,0.0
822f5ffffffffff,5.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0
8230c7fffffffff,2.0,0.0,0.0
8230dffffffffff,1.0,0.0,0.0
8230effffffffff,14.0,0.0,0.0
823187fffffffff,21.0,0.0,0.0
8231affffffffff,1.0,0.0,0.0
824b77fffffffff,2.0,0.0,0.0
