cell_id,Pterocles alchata,Pterocles alchata alchata,Pterocles alchata caudacutus
8420333ffffffff,9.0,0.0,0.0
842033bffffffff,2.0,0.0,0.0
842c901ffffffff,2.0,0.0,0.0
842c903ffffffff,3.0,0.0,0.0
842c915ffffffff,15.0,0.0,0.0
842c931ffffffff,4.0,0.0,0.0
842c93bffffffff,2.0,0.0,0.0
842c987ffffffff,1.0,0.0,0.0
842ca03ffffffff,1.0,0.0,0.0
842cc03ffffffff,2.0,0.0,0.0
842da81ffffffff,5.0,0.0,0.0
842dab3ffffffff,2.0,0.0,0.0
842dab9ffffffff,14.0,0.0,0.0
842db29ffffffff,4.0,0.0,0.0
842db67ffffffff,14.0,0.0,2.0
8438737ffffffff,2.0,0.0,0.0
8439001ffffffff,4.0,2.0,0.0
8439003ffffffff,103.0,68.0,0.0
843900dffffffff,8.0,0.0,0.0
8439031ffffffff,3.0,1.0,0.0
8439033ffffffff,24.0,9.0,0.0
8439037ffffffff,2.0,0.0,0.0
8439039ffffffff,1.0,1.0,0.0
8439081ffffffff,2.0,0.0,0.0
8439089ffffffff,10.0,4.0,0.0
8439097ffffffff,7.0,0.0,0.0
84390c1ffffffff,30.0,0.0,0.0
84390c5ffffffff,2.0,2.0,0.0
84390c7ffffffff,2.0,0.0,0.0
84390ddffffffff,1.0,0.0,0.0
84390e3ffffffff,13.0,3.0,0.0
84391c5ffffffff,1.0,0.0,0.0
84391ebffffffff,11.0,1.0,0.0
84392a9ffffffff,34.0,1.0,0.0
84392adffffffff,1.0,0.0,0.0
84392e7ffffffff,11.0,0.0,0.0
8439561ffffffff,68.0,2.0,0.0
8439569ffffffff,2.0,0.0,0.0
843956dffffffff,4.0,2.0,0.0
84396c7ffffffff,4.0,0.0,0.0
8439701ffffffff,21.0,19.0,0.0
8439703ffffffff,2.0,2.0,0.0
8439707ffffffff,4.0,3.0,0.0
8439709ffffffff,2.0,0.0,0.0
843970dffffffff,1.0,1.0,0.0
8439711ffffffff,25.0,21.0,0.0
8439739ffffffff,10.0,0.0,0.0
8439741ffffffff,4.0,0.0,0.0
8439745ffffffff,6.0,1.0,0.0
8439747ffffffff,4.0,4.0,0.0
8439761ffffffff,2.0,0.0,0.0
8439769ffffffff,1.0,0.0,0.0
843976dffffffff,1.0,0.0,0.0
8439885ffffffff,6.0,0.0,0.0
8439887ffffffff,6.0,0.0,1.0
843e689ffffffff,3.0,0.0,0.0
843e6c3ffffffff,10.0,0.0,0.0
843e6c7ffffffff,10.0,0.0,0.0
843e6c9ffffffff,4.0,0.0,0.0
843e6cbffffffff,10.0,0.0,0.0
8442eb5ffffffff,1.0,0.0,0.0
8443a13ffffffff,5.0,0.0,0.0
