cell_id,Crinifer personatus,Crinifer personatus personatus,Crinifer personatus leopoldi
8452997ffffffff,2.0,0.0,0.0
846a493ffffffff,2.0,0.0,0.0
846a49dffffffff,1.0,0.0,0.0
846a4a3ffffffff,4.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0
846ac15ffffffff,3.0,0.0,0.0
846ac23ffffffff,1.0,0.0,0.0
846ac33ffffffff,14.0,0.0,3.0
846ac35ffffffff,5.0,0.0,0.0
846ac39ffffffff,4.0,0.0,1.0
846ac3dffffffff,31.0,0.0,10.0
846ac89ffffffff,9.0,0.0,0.0
846ac8dffffffff,5.0,0.0,0.0
846ac93ffffffff,43.0,0.0,0.0
846ac9bffffffff,12.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846ace1ffffffff,2.0,0.0,0.0
846ace3ffffffff,2.0,0.0,0.0
846ace5ffffffff,697.0,0.0,84.0
846acedffffffff,1.0,0.0,0.0
846ad81ffffffff,48.0,0.0,0.0
846ad83ffffffff,3.0,0.0,0.0
846ad8bffffffff,89.0,0.0,0.0
846ad91ffffffff,1.0,0.0,0.0
846ad99ffffffff,2.0,0.0,1.0
846ad9dffffffff,2.0,0.0,0.0
846adc1ffffffff,5.0,0.0,0.0
846adc9ffffffff,6.0,0.0,0.0
846add5ffffffff,11.0,0.0,0.0
846add7ffffffff,44.0,0.0,0.0
846add9ffffffff,12.0,0.0,3.0
846adddffffffff,3.0,0.0,3.0
846ae85ffffffff,2.0,0.0,0.0
846aee3ffffffff,3.0,0.0,0.0
847a5adffffffff,7.0,0.0,0.0
847a681ffffffff,235.0,0.0,0.0
847a683ffffffff,186.0,0.0,0.0
847a687ffffffff,8.0,0.0,0.0
847a689ffffffff,24.0,0.0,0.0
847a68bffffffff,165.0,0.0,1.0
847a69dffffffff,13.0,0.0,0.0
847a6b1ffffffff,9.0,0.0,0.0
847a6b3ffffffff,5.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6b7ffffffff,25.0,0.0,0.0
847a6bbffffffff,2.0,0.0,0.0
847a6c3ffffffff,8.0,0.0,0.0
847a6d1ffffffff,439.0,0.0,42.0
847a6d3ffffffff,34.0,0.0,7.0
847a6d5ffffffff,16.0,0.0,0.0
847a6d7ffffffff,6.0,0.0,0.0
847a6d9ffffffff,47.0,0.0,0.0
847a6dbffffffff,38.0,0.0,0.0
847ac81ffffffff,121.0,0.0,0.0
847ac8bffffffff,17.0,0.0,0.0
847acd1ffffffff,2.0,0.0,0.0
847acd5ffffffff,2.0,0.0,0.0
847ad93ffffffff,6.0,0.0,0.0
847ad97ffffffff,2.0,0.0,0.0
847ad99ffffffff,2.0,0.0,0.0
847ae91ffffffff,7.0,0.0,0.0
847ae95ffffffff,3.0,0.0,0.0
847ae97ffffffff,8.0,0.0,0.0
847ae99ffffffff,1.0,0.0,0.0
847ae9bffffffff,24.0,0.0,0.0
8496805ffffffff,1.0,0.0,0.0
8496815ffffffff,2.0,0.0,0.0
8496861ffffffff,2.0,0.0,0.0
8496885ffffffff,2.0,0.0,0.0
84968c9ffffffff,4.0,0.0,0.0
8496901ffffffff,14.0,0.0,0.0
8496905ffffffff,50.0,0.0,15.0
8496907ffffffff,256.0,0.0,22.0
8496915ffffffff,2.0,0.0,0.0
8496921ffffffff,9.0,0.0,0.0
8496923ffffffff,3.0,0.0,0.0
8496925ffffffff,5.0,0.0,0.0
849692bffffffff,195.0,0.0,37.0
8496931ffffffff,1.0,0.0,0.0
8496933ffffffff,9.0,0.0,0.0
8496935ffffffff,8.0,0.0,0.0
8496937ffffffff,10.0,0.0,0.0
849693bffffffff,7.0,0.0,0.0
849693dffffffff,10.0,0.0,0.0
84969a1ffffffff,3.0,0.0,0.0
84969a5ffffffff,18.0,0.0,0.0
84969adffffffff,2.0,0.0,0.0
84969edffffffff,2.0,0.0,0.0
8496a27ffffffff,16.0,0.0,0.0
8496ac7ffffffff,1.0,0.0,0.0
8496aebffffffff,2.0,0.0,0.0
8496b13ffffffff,45.0,0.0,0.0
8496b19ffffffff,44.0,0.0,0.0
8496b1bffffffff,95.0,0.0,0.0
8496b2dffffffff,2.0,0.0,0.0
8496b67ffffffff,1.0,0.0,0.0
