cell_id,Arizelocichla masukuensis,Arizelocichla masukuensis kakamegae/kungwensis,Arizelocichla masukuensis masukuensis/roehli
836ac1fffffffff,4.0,4.0,0.0
836ac5fffffffff,2.0,2.0,0.0
836acefffffffff,1.0,1.0,0.0
836ad8fffffffff,2.0,0.0,0.0
836adcfffffffff,314.0,110.0,0.0
836adefffffffff,18.0,9.0,0.0
836aeafffffffff,1.0,1.0,0.0
837a4cfffffffff,224.0,148.0,0.0
837a4dfffffffff,67.0,41.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,9.0,1.0,0.0
837b48fffffffff,96.0,0.0,30.0
837b49fffffffff,2.0,0.0,0.0
837b4bfffffffff,88.0,0.0,28.0
839689fffffffff,1.0,0.0,0.0
83968dfffffffff,2.0,2.0,0.0
8396a0fffffffff,4.0,0.0,3.0
8396b0fffffffff,15.0,0.0,3.0
8396b2fffffffff,22.0,0.0,7.0
8396b5fffffffff,3.0,0.0,0.0
8396b6fffffffff,29.0,0.0,3.0
8396d2fffffffff,3.0,3.0,0.0
8397a8fffffffff,1.0,0.0,0.0
