cell_id,Ducula chalconota,Ducula chalconota chalconota,Ducula chalconota smaragdina
8472895ffffffff,1.0,0.0,0.0
84728b9ffffffff,8.0,0.0,0.0
8472a2bffffffff,64.0,0.0,0.0
8472da1ffffffff,3.0,0.0,0.0
8472da3ffffffff,50.0,0.0,0.0
8472db3ffffffff,14.0,0.0,0.0
8472db7ffffffff,2.0,0.0,0.0
8472de7ffffffff,1.0,0.0,0.0
8472debffffffff,2.0,0.0,0.0
84739b5ffffffff,1.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0
849c85bffffffff,2.0,0.0,0.0
849c8a3ffffffff,6.0,0.0,0.0
849c8bdffffffff,12.0,0.0,0.0
849c8edffffffff,2.0,0.0,0.0
849c9c3ffffffff,1.0,0.0,0.0
849c9d1ffffffff,10.0,0.0,0.0
849c9d5ffffffff,3.0,0.0,0.0
849c9d7ffffffff,6.0,0.0,0.0
849c9ddffffffff,5.0,0.0,0.0
849cd2dffffffff,2.0,0.0,0.0
