cell_id,Oriolus traillii,Oriolus traillii traillii/robinsoni,Oriolus traillii ardens/nigellicauda
833c0afffffffff,11.0,0.0,0.0
833c0bfffffffff,2.0,0.0,0.0
833c19fffffffff,12.0,0.0,0.0
833c1cfffffffff,9.0,0.0,0.0
833c1dfffffffff,1.0,0.0,0.0
833c33fffffffff,2.0,0.0,0.0
833c36fffffffff,1.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0
833c5afffffffff,1.0,1.0,0.0
833cdcfffffffff,5.0,0.0,0.0
833ce4fffffffff,6.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0
833ceefffffffff,1.0,0.0,0.0
833d10fffffffff,5.0,0.0,0.0
833da9fffffffff,2.0,0.0,0.0
83404cfffffffff,6.0,6.0,0.0
834103fffffffff,2.0,0.0,0.0
83415afffffffff,2.0,0.0,0.0
834165fffffffff,3.0,0.0,0.0
834b84fffffffff,8.0,0.0,0.0
834b86fffffffff,2.0,0.0,0.0
834ba0fffffffff,29.0,0.0,0.0
834ba1fffffffff,5.0,0.0,0.0
834ba2fffffffff,21.0,0.0,0.0
834ba3fffffffff,1.0,0.0,0.0
834bb1fffffffff,13.0,0.0,0.0
