cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
834412fffffffff,797.0,4.0,0.0
834413fffffffff,6739.0,37.0,0.0
83441afffffffff,6387.0,133.0,0.0
83441bfffffffff,8.0,0.0,0.0
83441efffffffff,7789.0,97.0,0.0
834424fffffffff,33.0,0.0,0.0
834430fffffffff,18.0,0.0,0.0
834432fffffffff,227.0,8.0,0.0
834434fffffffff,1.0,0.0,0.0
834436fffffffff,61.0,0.0,0.0
834444fffffffff,18.0,0.0,0.0
834445fffffffff,176.0,0.0,0.0
834446fffffffff,92.0,0.0,0.0
834450fffffffff,6.0,0.0,0.0
834455fffffffff,46.0,0.0,0.0
83446cfffffffff,444.0,3.0,0.0
83446dfffffffff,6.0,1.0,0.0
834480fffffffff,14.0,0.0,0.0
834484fffffffff,12.0,0.0,0.0
834485fffffffff,7.0,0.0,0.0
834486fffffffff,95.0,0.0,0.0
8344a1fffffffff,1900.0,16.0,0.0
8344a2fffffffff,21.0,0.0,0.0
8344a3fffffffff,23.0,0.0,0.0
8344a5fffffffff,176.0,0.0,0.0
8344a8fffffffff,4230.0,63.0,0.0
8344a9fffffffff,9287.0,197.0,0.0
8344abfffffffff,141.0,3.0,0.0
8344acfffffffff,4225.0,229.0,0.0
8344adfffffffff,1134.0,22.0,0.0
8344aefffffffff,5145.0,126.0,0.0
8344b0fffffffff,20.0,0.0,0.0
8344b1fffffffff,9.0,0.0,0.0
8344b2fffffffff,1.0,0.0,0.0
8344b5fffffffff,401.0,0.0,0.0
8344e0fffffffff,394.0,1.0,0.0
8344e2fffffffff,337.0,0.0,0.0
8344eefffffffff,1.0,0.0,0.0
8344f0fffffffff,268.0,0.0,0.0
8344f4fffffffff,6974.0,358.0,0.0
8344f5fffffffff,180.0,0.0,0.0
8344f6fffffffff,624.0,0.0,0.0
834501fffffffff,26.0,0.0,0.0
834505fffffffff,373.0,9.0,0.0
834508fffffffff,10.0,1.0,0.0
834509fffffffff,439.0,0.0,0.0
83450afffffffff,604.0,19.0,0.0
83450bfffffffff,280.0,0.0,0.0
83450cfffffffff,87.0,0.0,0.0
83450dfffffffff,51.0,0.0,0.0
83450efffffffff,24.0,1.0,0.0
83451bfffffffff,2.0,0.0,0.0
834520fffffffff,100.0,0.0,0.0
834521fffffffff,296.0,0.0,0.0
834522fffffffff,173.0,0.0,0.0
834523fffffffff,146.0,0.0,0.0
834524fffffffff,29.0,0.0,0.0
834525fffffffff,86.0,0.0,0.0
834526fffffffff,1568.0,0.0,0.0
834528fffffffff,101.0,0.0,0.0
834529fffffffff,26.0,0.0,0.0
83452afffffffff,4803.0,118.0,0.0
83452bfffffffff,64.0,0.0,0.0
83452cfffffffff,827.0,0.0,0.0
83452dfffffffff,23.0,0.0,0.0
83452efffffffff,1466.0,13.0,0.0
834530fffffffff,1.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0
834572fffffffff,61.0,0.0,0.0
834574fffffffff,30.0,0.0,0.0
834576fffffffff,39.0,0.0,0.0
834583fffffffff,20.0,0.0,0.0
834588fffffffff,288.0,4.0,0.0
834589fffffffff,4.0,0.0,0.0
83458cfffffffff,424.0,10.0,0.0
83458dfffffffff,151.0,7.0,0.0
83458efffffffff,183.0,0.0,0.0
834590fffffffff,13.0,0.0,0.0
834591fffffffff,285.0,10.0,0.0
834592fffffffff,26.0,4.0,0.0
834598fffffffff,114.0,0.0,0.0
83459cfffffffff,52.0,0.0,0.0
83459dfffffffff,92.0,0.0,0.0
83459efffffffff,3.0,0.0,0.0
8345b0fffffffff,2.0,0.0,0.0
8345b2fffffffff,97.0,0.0,0.0
834830fffffffff,27.0,0.0,0.0
834832fffffffff,10.0,0.0,0.0
834836fffffffff,1702.0,23.0,0.0
83489dfffffffff,2.0,0.0,0.0
834990fffffffff,3.0,0.0,0.0
834992fffffffff,19.0,0.0,0.0
834996fffffffff,374.0,11.0,0.0
83499efffffffff,2.0,0.0,0.0
8349a2fffffffff,8.0,0.0,0.0
8349a8fffffffff,76.0,2.0,0.0
8349a9fffffffff,140.0,0.0,0.0
8349aafffffffff,5.0,0.0,0.0
8349abfffffffff,43.0,0.0,0.0
8349acfffffffff,2.0,0.0,0.0
8349adfffffffff,1.0,0.0,0.0
8349aefffffffff,2.0,0.0,0.0
8349b3fffffffff,36.0,4.0,0.0
834c88fffffffff,124.0,0.0,0.0
834c89fffffffff,25.0,0.0,0.0
834c93fffffffff,4.0,0.0,0.0
834c98fffffffff,4.0,0.0,0.0
834c9afffffffff,8.0,0.0,0.0
834cc0fffffffff,196.0,9.0,0.0
834cc5fffffffff,154.0,2.0,0.0
834cc6fffffffff,57.0,22.0,0.0
834cd0fffffffff,1.0,0.0,0.0
834cd2fffffffff,20.0,0.0,0.0
834cd4fffffffff,96.0,1.0,0.0
834cd5fffffffff,12.0,0.0,0.0
834cd6fffffffff,48.0,7.0,0.0
834ceafffffffff,3.0,0.0,0.0
834ceefffffffff,56.0,2.0,0.0
834cf2fffffffff,47.0,0.0,0.0
834cf3fffffffff,286.0,44.0,0.0
835f08fffffffff,67.0,0.0,0.0
835f09fffffffff,371.0,0.0,0.0
835f0bfffffffff,59.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f0efffffffff,2.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f1cfffffffff,11.0,0.0,0.0
835f1dfffffffff,13.0,0.0,0.0
