cell_id,Cyclopsitta desmarestii,Cyclopsitta desmarestii [desmarestii Group],Cyclopsitta desmarestii godmani,Cyclopsitta desmarestii cervicalis
839c8bfffffffff,5.0,0.0,0.0,0.0
839cd3fffffffff,16.0,0.0,0.0,1.0
