cell_id,Hylophilus thoracicus,Hylophilus thoracicus griseiventris/aemulus,Hylophilus thoracicus thoracicus
835f01fffffffff,4.0,0.0,0.0
835f02fffffffff,8.0,0.0,0.0
835f03fffffffff,57.0,2.0,0.0
835f08fffffffff,13.0,0.0,0.0
835f09fffffffff,8.0,0.0,0.0
835f0bfffffffff,13.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f10fffffffff,5.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0
835f29fffffffff,35.0,0.0,0.0
835f2bfffffffff,243.0,0.0,0.0
835f2dfffffffff,13.0,0.0,0.0
835f33fffffffff,1.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f54fffffffff,23.0,0.0,0.0
835f68fffffffff,20.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0
835f75fffffffff,1.0,0.0,0.0
83665afffffffff,21.0,0.0,0.0
83665bfffffffff,68.0,0.0,0.0
8366c2fffffffff,29.0,0.0,0.0
8366c3fffffffff,9.0,0.0,0.0
8366cefffffffff,11.0,0.0,0.0
8366d8fffffffff,20.0,4.0,0.0
8366dcfffffffff,5.0,0.0,0.0
8366ddfffffffff,3.0,0.0,0.0
8366defffffffff,17.0,2.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366eefffffffff,1.0,0.0,0.0
838114fffffffff,3.0,0.0,0.0
838130fffffffff,2.0,0.0,0.0
838132fffffffff,2.0,0.0,0.0
838133fffffffff,16.0,0.0,2.0
838134fffffffff,2.0,0.0,0.0
838136fffffffff,81.0,0.0,2.0
838a00fffffffff,8.0,0.0,0.0
838a01fffffffff,3.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0
838a15fffffffff,1.0,0.0,0.0
838a19fffffffff,1.0,1.0,0.0
838a45fffffffff,9.0,0.0,0.0
838a55fffffffff,1.0,0.0,0.0
838a5afffffffff,1.0,1.0,0.0
838a63fffffffff,5.0,1.0,0.0
838a69fffffffff,18.0,0.0,0.0
838a6dfffffffff,30.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0
838a70fffffffff,4.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0
838ad1fffffffff,2.0,0.0,0.0
838ad5fffffffff,3.0,0.0,0.0
838adafffffffff,2.0,0.0,0.0
838adcfffffffff,2.0,0.0,0.0
838adefffffffff,1.0,0.0,0.0
838af0fffffffff,34.0,9.0,0.0
838af2fffffffff,6.0,1.0,0.0
838af6fffffffff,89.0,7.0,0.0
838b2dfffffffff,1.0,0.0,0.0
838b40fffffffff,14.0,0.0,0.0
838b44fffffffff,5.0,0.0,0.0
838b45fffffffff,3.0,0.0,0.0
838b4efffffffff,15.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b56fffffffff,7.0,0.0,0.0
838b5cfffffffff,10.0,0.0,0.0
838b5dfffffffff,1.0,0.0,0.0
838b61fffffffff,10.0,0.0,0.0
838b63fffffffff,50.0,0.0,0.0
838b68fffffffff,2.0,0.0,0.0
838b69fffffffff,8.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0
838b6efffffffff,8.0,0.0,0.0
838b71fffffffff,33.0,0.0,0.0
838b74fffffffff,2.0,0.0,0.0
838e64fffffffff,1.0,0.0,0.0
838f40fffffffff,9.0,0.0,0.0
838f46fffffffff,15.0,0.0,0.0
838f4bfffffffff,2.0,0.0,0.0
838f61fffffffff,9.0,0.0,0.0
838f65fffffffff,12.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
838f71fffffffff,5.0,0.0,0.0
83a880fffffffff,6.0,0.0,0.0
83a882fffffffff,3.0,0.0,0.0
83a884fffffffff,4.0,0.0,0.0
83a886fffffffff,29.0,0.0,0.0
83a891fffffffff,15.0,0.0,1.0
83a895fffffffff,52.0,0.0,0.0
83a8a0fffffffff,570.0,0.0,7.0
83a8a1fffffffff,361.0,0.0,30.0
83a8a2fffffffff,322.0,0.0,7.0
83a8a3fffffffff,45.0,0.0,0.0
83a8b1fffffffff,28.0,0.0,2.0
