cell_id,Oceanites gracilis,Oceanites gracilis galapagoensis,Oceanites gracilis gracilis
846c5abffffffff,1.0,0.0,0.0
846c5bdffffffff,3.0,0.0,0.0
848e253ffffffff,3.0,0.0,0.0
848e48dffffffff,1.0,0.0,0.0
848e62dffffffff,6.0,0.0,0.0
848f2a7ffffffff,12.0,0.0,0.0
848f525ffffffff,2.0,0.0,0.0
848fa6bffffffff,1.0,0.0,0.0
84b2051ffffffff,3.0,0.0,0.0
84b2183ffffffff,2.0,0.0,0.0
84b2189ffffffff,1.0,0.0,0.0
84b218bffffffff,8.0,0.0,0.0
84b2191ffffffff,8.0,0.0,0.0
84b2195ffffffff,13.0,0.0,0.0
84b219dffffffff,5.0,0.0,0.0
84b21b9ffffffff,1.0,0.0,0.0
84b21d7ffffffff,5.0,0.0,0.0
84b28bbffffffff,2.0,0.0,0.0
84b2c45ffffffff,3.0,0.0,0.0
84b3031ffffffff,2.0,0.0,0.0
84b3047ffffffff,6.0,0.0,0.0
