cell_id,Psarocolius bifasciatus,Psarocolius bifasciatus yuracares/neivae,Psarocolius bifasciatus bifasciatus
835f42fffffffff,2.0,0.0,0.0
83665afffffffff,6.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366d1fffffffff,3.0,3.0,0.0
8366dafffffffff,4.0,4.0,0.0
8366defffffffff,3.0,0.0,0.0
838140fffffffff,2.0,0.0,0.0
838adcfffffffff,2.0,0.0,0.0
838b21fffffffff,2.0,2.0,0.0
838b44fffffffff,1.0,1.0,0.0
838b61fffffffff,6.0,6.0,0.0
838b63fffffffff,22.0,22.0,0.0
838b70fffffffff,2.0,2.0,0.0
838b71fffffffff,2.0,2.0,0.0
838b9dfffffffff,1.0,1.0,0.0
838f72fffffffff,1.0,1.0,0.0
83b325fffffffff,2.0,2.0,0.0
