cell_id,Asthenes dorbignyi,Asthenes dorbignyi huancavelicae,Asthenes dorbignyi arequipae,Asthenes dorbignyi usheri,Asthenes dorbignyi dorbignyi/consobrina
838b2cfffffffff,3.0,0.0,1.0,0.0,0.0
838b64fffffffff,3.0,0.0,3.0,0.0,0.0
838e68fffffffff,2.0,0.0,2.0,0.0,0.0
838e69fffffffff,6.0,0.0,6.0,0.0,0.0
838e6afffffffff,2.0,0.0,2.0,0.0,0.0
838e6cfffffffff,3.0,0.0,0.0,3.0,0.0
838e6dfffffffff,31.0,0.0,0.0,28.0,0.0
838f58fffffffff,4.0,0.0,0.0,4.0,0.0
838f5efffffffff,4.0,2.0,0.0,0.0,0.0
83b20bfffffffff,2.0,0.0,0.0,0.0,0.0
83b2e1fffffffff,1.0,0.0,0.0,0.0,0.0
83b2eefffffffff,5.0,0.0,0.0,0.0,0.0
83b304fffffffff,2.0,0.0,0.0,0.0,0.0
83b305fffffffff,1.0,0.0,0.0,0.0,0.0
83b30cfffffffff,1.0,0.0,1.0,0.0,0.0
83b321fffffffff,1.0,0.0,1.0,0.0,0.0
83b32cfffffffff,1.0,0.0,1.0,0.0,0.0
83b355fffffffff,10.0,0.0,0.0,0.0,10.0
83b35afffffffff,2.0,0.0,0.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0,0.0,0.0
83b373fffffffff,4.0,0.0,0.0,0.0,2.0
