cell_id,Acrocephalus stentoreus,Acrocephalus stentoreus stentoreus/levantinus,Acrocephalus stentoreus [brunnescens Group]
832018fffffffff,3.0,0.0,0.0
8320a1fffffffff,3.0,0.0,0.0
8320b3fffffffff,3.0,0.0,0.0
83219cfffffffff,2.0,0.0,0.0
832c51fffffffff,2.0,0.0,0.0
832c93fffffffff,4.0,0.0,0.0
832c9dfffffffff,2.0,0.0,2.0
832db0fffffffff,6.0,3.0,0.0
832db2fffffffff,2.0,2.0,0.0
832db3fffffffff,2.0,0.0,0.0
832db6fffffffff,8.0,0.0,0.0
833c19fffffffff,9.0,2.0,3.0
833c1bfffffffff,6.0,2.0,0.0
833c52fffffffff,1.0,0.0,0.0
833c58fffffffff,11.0,0.0,0.0
833c8dfffffffff,4.0,0.0,0.0
833c94fffffffff,4.0,0.0,0.0
833c9dfffffffff,18.0,4.0,0.0
833ca8fffffffff,1.0,0.0,0.0
833ca9fffffffff,4.0,0.0,0.0
833cb1fffffffff,3.0,0.0,0.0
833cc6fffffffff,3.0,0.0,0.0
833ce0fffffffff,2.0,0.0,0.0
833ce1fffffffff,6.0,0.0,0.0
833ce5fffffffff,5.0,0.0,0.0
833cf1fffffffff,10.0,0.0,0.0
833cf2fffffffff,62.0,3.0,0.0
833cf6fffffffff,5.0,0.0,0.0
833d04fffffffff,4.0,0.0,0.0
833d32fffffffff,1.0,0.0,0.0
833d34fffffffff,15.0,0.0,0.0
833d36fffffffff,7.0,0.0,0.0
833d84fffffffff,1.0,0.0,0.0
833d8bfffffffff,1.0,0.0,0.0
833d8dfffffffff,1.0,0.0,0.0
833d99fffffffff,2.0,0.0,0.0
833da1fffffffff,28.0,0.0,4.0
833da2fffffffff,1.0,0.0,0.0
833da3fffffffff,2.0,0.0,1.0
833dacfffffffff,4.0,0.0,0.0
833dadfffffffff,17.0,0.0,0.0
833e60fffffffff,1.0,0.0,0.0
833e65fffffffff,2.0,0.0,0.0
833e68fffffffff,15.0,0.0,0.0
833e6cfffffffff,1.0,0.0,0.0
834043fffffffff,1.0,0.0,1.0
8342c0fffffffff,4.0,0.0,0.0
8342c2fffffffff,14.0,0.0,0.0
8342c6fffffffff,3.0,0.0,0.0
8342ccfffffffff,8.0,0.0,0.0
8342cdfffffffff,5.0,0.0,0.0
8342cefffffffff,29.0,0.0,1.0
8342dbfffffffff,11.0,0.0,0.0
8342ddfffffffff,1.0,0.0,0.0
834313fffffffff,5.0,0.0,0.0
8343a0fffffffff,2.0,0.0,0.0
8343a1fffffffff,2.0,0.0,1.0
8343a3fffffffff,2.0,0.0,0.0
8343a8fffffffff,5.0,0.0,1.0
8343acfffffffff,5.0,0.0,1.0
8343aefffffffff,14.0,0.0,0.0
8352d4fffffffff,7.0,0.0,0.0
835326fffffffff,2.0,0.0,0.0
835355fffffffff,3.0,0.0,0.0
836002fffffffff,2.0,0.0,0.0
836004fffffffff,6.0,0.0,0.0
836006fffffffff,9.0,0.0,0.0
836010fffffffff,2.0,0.0,0.0
836011fffffffff,2.0,0.0,0.0
836014fffffffff,44.0,0.0,0.0
836015fffffffff,17.0,0.0,0.0
836016fffffffff,4.0,0.0,0.0
836022fffffffff,35.0,0.0,0.0
836026fffffffff,6.0,0.0,0.0
836031fffffffff,37.0,0.0,0.0
836033fffffffff,41.0,0.0,0.0
836035fffffffff,5.0,0.0,0.0
836086fffffffff,3.0,0.0,0.0
836088fffffffff,31.0,0.0,0.0
83608afffffffff,3.0,0.0,0.0
83608bfffffffff,31.0,0.0,0.0
83608cfffffffff,4.0,0.0,0.0
83608efffffffff,59.0,0.0,0.0
836096fffffffff,8.0,0.0,0.0
836098fffffffff,5.0,0.0,0.0
836099fffffffff,47.0,0.0,0.0
83609dfffffffff,3.0,0.0,0.0
83609efffffffff,41.0,0.0,0.0
8360a2fffffffff,5.0,0.0,0.0
8360a8fffffffff,2.0,0.0,0.0
8360a9fffffffff,126.0,4.0,0.0
8360aafffffffff,6.0,0.0,0.0
8360abfffffffff,26.0,0.0,0.0
8360adfffffffff,2.0,0.0,0.0
8360b1fffffffff,61.0,0.0,0.0
8360b5fffffffff,1.0,0.0,0.0
836102fffffffff,1.0,0.0,0.0
836106fffffffff,5.0,0.0,0.0
836189fffffffff,71.0,0.0,2.0
83618cfffffffff,4.0,0.0,0.0
836428fffffffff,3.0,0.0,0.0
836482fffffffff,5.0,0.0,0.0
836490fffffffff,2.0,0.0,0.0
836498fffffffff,3.0,0.0,3.0
8364e4fffffffff,3.0,0.0,3.0
8364e6fffffffff,3.0,0.0,0.0
836844fffffffff,4.0,0.0,0.0
83684efffffffff,2.0,0.0,0.0
836941fffffffff,3.0,0.0,0.0
83694efffffffff,1.0,0.0,0.0
839500fffffffff,2.0,0.0,2.0
