cell_id,Thamnophilus ruficapillus,Thamnophilus ruficapillus [subfasciatus Group],Thamnophilus ruficapillus ruficapillus/cochabambae
838b20fffffffff,104.0,0.0,0.0
838b21fffffffff,11.0,0.0,0.0
838b22fffffffff,3.0,0.0,0.0
838b24fffffffff,4.0,0.0,0.0
838b25fffffffff,17.0,0.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b2cfffffffff,6.0,0.0,0.0
838b2dfffffffff,3.0,0.0,0.0
838b66fffffffff,5.0,0.0,0.0
838b75fffffffff,17.0,0.0,0.0
838f42fffffffff,9.0,0.0,0.0
838f46fffffffff,48.0,0.0,0.0
838f50fffffffff,8.0,0.0,0.0
838f54fffffffff,31.0,0.0,0.0
838f55fffffffff,382.0,20.0,0.0
838f73fffffffff,33.0,3.0,0.0
83a800fffffffff,8.0,0.0,0.0
83a801fffffffff,15.0,0.0,0.0
83a803fffffffff,2.0,0.0,0.0
83a804fffffffff,98.0,0.0,3.0
83a805fffffffff,16.0,0.0,0.0
83a806fffffffff,174.0,0.0,2.0
83a810fffffffff,479.0,0.0,3.0
83a811fffffffff,18.0,0.0,0.0
83a812fffffffff,309.0,0.0,0.0
83a813fffffffff,88.0,0.0,0.0
83a814fffffffff,7.0,0.0,0.0
83a815fffffffff,29.0,0.0,0.0
83a819fffffffff,2.0,0.0,0.0
83a81afffffffff,5.0,0.0,0.0
83a81cfffffffff,66.0,0.0,0.0
83a81efffffffff,154.0,0.0,0.0
83a820fffffffff,6.0,0.0,0.0
83a821fffffffff,17.0,0.0,0.0
83a822fffffffff,5.0,0.0,0.0
83a823fffffffff,6.0,0.0,0.0
83a824fffffffff,37.0,0.0,0.0
83a825fffffffff,26.0,0.0,0.0
83a826fffffffff,18.0,0.0,0.0
83a828fffffffff,2.0,0.0,0.0
83a82afffffffff,3.0,0.0,0.0
83a82bfffffffff,2.0,0.0,0.0
83a82efffffffff,6.0,0.0,0.0
83a831fffffffff,94.0,0.0,3.0
83a835fffffffff,22.0,0.0,0.0
83a880fffffffff,68.0,0.0,0.0
83a881fffffffff,17.0,0.0,0.0
83a882fffffffff,15.0,0.0,0.0
83a884fffffffff,24.0,0.0,2.0
83a885fffffffff,7.0,0.0,0.0
83a886fffffffff,6.0,0.0,0.0
83a891fffffffff,1.0,0.0,0.0
83a8a1fffffffff,258.0,0.0,7.0
83a8a2fffffffff,153.0,0.0,8.0
83a8a3fffffffff,44.0,0.0,0.0
83a8a5fffffffff,17.0,0.0,0.0
83a8a8fffffffff,13.0,0.0,0.0
83a8a9fffffffff,5.0,0.0,0.0
83a8aafffffffff,38.0,0.0,0.0
83a8acfffffffff,59.0,0.0,2.0
83a8adfffffffff,21.0,0.0,0.0
83a8aefffffffff,88.0,0.0,0.0
83a8f4fffffffff,4.0,0.0,0.0
83a901fffffffff,45.0,0.0,0.0
83a903fffffffff,4.0,0.0,0.0
83a905fffffffff,19.0,0.0,0.0
83a908fffffffff,1.0,0.0,0.0
83a909fffffffff,46.0,0.0,0.0
83a90afffffffff,11.0,0.0,0.0
83a90bfffffffff,7.0,0.0,0.0
83a90cfffffffff,8.0,0.0,0.0
83a90dfffffffff,9.0,0.0,0.0
83a90efffffffff,56.0,0.0,0.0
83a918fffffffff,19.0,0.0,0.0
83a919fffffffff,75.0,0.0,5.0
83a91bfffffffff,7.0,0.0,0.0
83a91dfffffffff,65.0,0.0,0.0
83a921fffffffff,22.0,0.0,0.0
83a928fffffffff,5.0,0.0,0.0
83a929fffffffff,25.0,0.0,0.0
83a92bfffffffff,2.0,0.0,0.0
83a92cfffffffff,420.0,0.0,1.0
83a92dfffffffff,35.0,0.0,1.0
83a92efffffffff,118.0,0.0,0.0
83a942fffffffff,1.0,0.0,0.0
83a944fffffffff,12.0,0.0,0.0
83a946fffffffff,212.0,0.0,0.0
83a950fffffffff,37.0,0.0,0.0
83a952fffffffff,11.0,0.0,0.0
83a953fffffffff,32.0,0.0,0.0
83a954fffffffff,5.0,0.0,0.0
83a955fffffffff,22.0,0.0,0.0
83a956fffffffff,2.0,0.0,0.0
83a95afffffffff,7.0,0.0,0.0
83a95dfffffffff,4.0,0.0,0.0
83a95efffffffff,2.0,0.0,0.0
83a962fffffffff,16.0,0.0,0.0
83a964fffffffff,27.0,0.0,0.0
83a971fffffffff,7.0,0.0,0.0
83a972fffffffff,2.0,0.0,0.0
83a974fffffffff,31.0,0.0,0.0
83a975fffffffff,7.0,0.0,0.0
83b320fffffffff,2.0,0.0,0.0
83b321fffffffff,2.0,0.0,0.0
83b324fffffffff,2.0,0.0,0.0
83b325fffffffff,20.0,0.0,0.0
83b340fffffffff,8.0,0.0,0.0
83b342fffffffff,130.0,0.0,0.0
83b343fffffffff,5.0,0.0,0.0
83b344fffffffff,2.0,0.0,0.0
83b346fffffffff,8.0,0.0,0.0
83b351fffffffff,335.0,0.0,0.0
83b358fffffffff,6.0,0.0,0.0
83b35afffffffff,12.0,0.0,0.0
83b35bfffffffff,49.0,0.0,0.0
83b35cfffffffff,76.0,0.0,0.0
83b35efffffffff,298.0,0.0,0.0
83b362fffffffff,1.0,0.0,0.0
83c22afffffffff,2.0,0.0,0.0
83c289fffffffff,1.0,0.0,0.0
83c2c0fffffffff,9.0,0.0,0.0
83c2c1fffffffff,168.0,0.0,0.0
83c2c2fffffffff,8.0,0.0,0.0
83c2c3fffffffff,7.0,0.0,0.0
83c2c4fffffffff,51.0,0.0,4.0
83c2c5fffffffff,432.0,0.0,0.0
83c2c6fffffffff,96.0,0.0,0.0
83c2cafffffffff,17.0,0.0,0.0
83c2cdfffffffff,33.0,0.0,0.0
83c2cefffffffff,99.0,0.0,0.0
83c2d0fffffffff,67.0,0.0,0.0
83c2d1fffffffff,5.0,0.0,0.0
83c2d2fffffffff,12.0,0.0,0.0
83c2d3fffffffff,76.0,0.0,0.0
83c2d4fffffffff,103.0,0.0,0.0
83c2d5fffffffff,13.0,0.0,0.0
83c2d6fffffffff,110.0,0.0,0.0
83c2d8fffffffff,81.0,0.0,0.0
83c2d9fffffffff,94.0,0.0,12.0
83c2dafffffffff,3.0,0.0,0.0
83c2dbfffffffff,21.0,0.0,0.0
83c2dcfffffffff,1.0,0.0,0.0
83c2defffffffff,4.0,0.0,0.0
83c2e1fffffffff,1.0,0.0,0.0
83c2e2fffffffff,292.0,0.0,0.0
83c2e3fffffffff,364.0,0.0,0.0
83c2e8fffffffff,34.0,0.0,0.0
83c2eafffffffff,12.0,0.0,0.0
83c2eefffffffff,290.0,0.0,0.0
83c2f1fffffffff,387.0,0.0,0.0
83c2f2fffffffff,124.0,0.0,0.0
83c2f3fffffffff,368.0,0.0,0.0
