cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
82541ffffffffff,1.0,1.0,0.0,0.0
8254affffffffff,4.0,0.0,0.0,0.0
8254c7fffffffff,3.0,2.0,0.0,0.0
827a47fffffffff,2.0,0.0,2.0,0.0
827a4ffffffffff,1.0,0.0,1.0,0.0
827a6ffffffffff,15.0,0.0,5.0,0.0
8282affffffffff,1.0,0.0,0.0,1.0
8282f7fffffffff,1.0,0.0,0.0,1.0
82962ffffffffff,1.0,0.0,1.0,0.0
829677fffffffff,1.0,0.0,1.0,0.0
82ac87fffffffff,3.0,0.0,0.0,0.0
82bcc7fffffffff,3.0,0.0,2.0,0.0
82bceffffffffff,3.0,0.0,2.0,0.0
