cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
825f77fffffffff,2.0,0.0,0.0
826607fffffffff,73.0,2.0,0.0
82660ffffffffff,3906.0,11.0,0.0
826617fffffffff,1.0,0.0,0.0
82661ffffffffff,17986.0,223.0,0.0
82662ffffffffff,188.0,0.0,0.0
826647fffffffff,196.0,0.0,24.0
826657fffffffff,711.0,0.0,0.0
82665ffffffffff,35.0,0.0,2.0
826667fffffffff,25.0,0.0,0.0
826677fffffffff,187.0,0.0,0.0
8266c7fffffffff,7590.0,40.0,87.0
8266cffffffffff,161.0,0.0,15.0
8266d7fffffffff,235.0,0.0,0.0
8266dffffffffff,5011.0,0.0,404.0
8266e7fffffffff,23689.0,228.0,6.0
8266effffffffff,1154.0,0.0,12.0
8266f7fffffffff,15570.0,145.0,0.0
82675ffffffffff,36.0,0.0,0.0
828a07fffffffff,26.0,0.0,8.0
828a1ffffffffff,6.0,0.0,2.0
828a47fffffffff,827.0,0.0,54.0
828a6ffffffffff,703.0,0.0,38.0
828a77fffffffff,8.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828aaffffffffff,1.0,0.0,0.0
828adffffffffff,18.0,0.0,6.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,258.0,0.0,67.0
828b07fffffffff,19.0,0.0,0.0
828b0ffffffffff,47.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,470.0,0.0,0.0
828b2ffffffffff,105.0,0.0,0.0
828b37fffffffff,8.0,0.0,0.0
828b47fffffffff,1046.0,0.0,28.0
828b4ffffffffff,15.0,0.0,0.0
828b57fffffffff,79.0,0.0,5.0
828b5ffffffffff,57.0,0.0,5.0
828b67fffffffff,1738.0,0.0,108.0
828b6ffffffffff,53.0,0.0,0.0
828b77fffffffff,132.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b9ffffffffff,8.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828e67fffffffff,184.0,0.0,0.0
828f2ffffffffff,21.0,0.0,0.0
828f47fffffffff,1809.0,0.0,58.0
828f4ffffffffff,219.0,0.0,0.0
828f57fffffffff,7.0,0.0,0.0
828f5ffffffffff,131.0,0.0,0.0
828f67fffffffff,136.0,0.0,10.0
828f6ffffffffff,72.0,0.0,9.0
828f77fffffffff,1444.0,0.0,102.0
82b327fffffffff,14.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0
