cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
830120fffffffff,2.0,2.0,0.0,0.0
830122fffffffff,2.0,0.0,0.0,0.0
830124fffffffff,3.0,0.0,0.0,0.0
830126fffffffff,27.0,3.0,0.0,0.0
830130fffffffff,34.0,12.0,0.0,0.0
830131fffffffff,17.0,2.0,0.0,0.0
830134fffffffff,5.0,2.0,0.0,0.0
830135fffffffff,199.0,76.0,0.0,0.0
830151fffffffff,2.0,0.0,0.0,0.0
830153fffffffff,7.0,3.0,0.0,0.0
83015efffffffff,13.0,13.0,0.0,0.0
8302cafffffffff,2.0,0.0,0.0,0.0
83041afffffffff,35.0,0.0,0.0,0.0
8304cdfffffffff,5.0,0.0,0.0,0.0
8304ebfffffffff,4.0,0.0,0.0,0.0
830588fffffffff,12.0,12.0,0.0,0.0
83058cfffffffff,8.0,8.0,0.0,0.0
830741fffffffff,101.0,60.0,0.0,0.0
830742fffffffff,84.0,61.0,0.0,0.0
830743fffffffff,239.0,54.0,0.0,0.0
830744fffffffff,15.0,10.0,0.0,0.0
830745fffffffff,29.0,12.0,0.0,0.0
830746fffffffff,486.0,352.0,0.0,0.0
83074efffffffff,11.0,7.0,0.0,0.0
830751fffffffff,17.0,7.0,0.0,0.0
830755fffffffff,77.0,53.0,0.0,0.0
830758fffffffff,43.0,15.0,0.0,0.0
83075cfffffffff,63.0,27.0,0.0,0.0
83075dfffffffff,589.0,258.0,0.0,0.0
83075efffffffff,199.0,56.0,0.0,0.0
830762fffffffff,111.0,60.0,0.0,0.0
830763fffffffff,73.0,50.0,0.0,0.0
830770fffffffff,12.0,10.0,0.0,0.0
830771fffffffff,18.0,16.0,0.0,0.0
830773fffffffff,617.0,505.0,0.0,0.0
830775fffffffff,4.0,0.0,0.0,0.0
830802fffffffff,22.0,4.0,0.0,0.0
830803fffffffff,4.0,0.0,0.0,0.0
830805fffffffff,1.0,0.0,0.0,0.0
830806fffffffff,54.0,4.0,0.0,0.0
830810fffffffff,20.0,7.0,0.0,0.0
830811fffffffff,6.0,6.0,0.0,0.0
830812fffffffff,11.0,9.0,0.0,0.0
830813fffffffff,24.0,4.0,0.0,0.0
830814fffffffff,9.0,0.0,0.0,0.0
830815fffffffff,91.0,19.0,0.0,0.0
830816fffffffff,10.0,6.0,0.0,0.0
830818fffffffff,2.0,1.0,0.0,0.0
