cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
84661b1ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,3.0,1.0,0.0,0.0
8466b4dffffffff,1.0,0.0,0.0,0.0
8466b51ffffffff,3.0,0.0,3.0,0.0
8466b55ffffffff,43.0,0.0,42.0,0.0
8466b5bffffffff,2.0,0.0,0.0,0.0
8466c6dffffffff,2.0,0.0,0.0,0.0
8466d0bffffffff,43.0,0.0,0.0,0.0
8466d55ffffffff,5.0,0.0,0.0,0.0
8466e65ffffffff,1.0,0.0,0.0,0.0
8466f03ffffffff,3.0,0.0,0.0,0.0
8466f1dffffffff,14.0,0.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0,0.0
846d657ffffffff,4.0,0.0,0.0,0.0
846d68bffffffff,3.0,1.0,0.0,0.0
846d691ffffffff,4.0,0.0,0.0,0.0
846d69bffffffff,2.0,0.0,0.0,0.0
846d6d5ffffffff,2.0,0.0,0.0,0.0
848f0dbffffffff,4.0,0.0,0.0,4.0
848f2a9ffffffff,3.0,0.0,0.0,0.0
848f72dffffffff,6.0,0.0,0.0,0.0
