cell_id,Mimus gilvus,Mimus gilvus gracilis/leucophaeus,Mimus gilvus [gilvus Group],Mimus gilvus magnirostris
83391afffffffff,2.0,0.0,0.0,0.0
83446efffffffff,63.0,0.0,0.0,0.0
8344aefffffffff,62.0,0.0,2.0,0.0
834501fffffffff,6.0,0.0,0.0,0.0
834505fffffffff,5.0,0.0,0.0,0.0
83450bfffffffff,6.0,3.0,0.0,0.0
83451dfffffffff,5.0,0.0,0.0,0.0
834520fffffffff,4.0,0.0,0.0,0.0
834521fffffffff,1.0,0.0,0.0,0.0
834523fffffffff,6.0,0.0,0.0,0.0
834525fffffffff,11.0,0.0,0.0,0.0
83452cfffffffff,9.0,0.0,0.0,0.0
83452efffffffff,8.0,0.0,0.0,0.0
834531fffffffff,7.0,0.0,0.0,0.0
834572fffffffff,1.0,0.0,0.0,0.0
834996fffffffff,1.0,1.0,0.0,0.0
835e46fffffffff,4.0,0.0,0.0,0.0
835e62fffffffff,2.0,0.0,0.0,0.0
835e66fffffffff,2.0,0.0,2.0,0.0
835f58fffffffff,31.0,0.0,31.0,0.0
835f5bfffffffff,26.0,0.0,14.0,0.0
836608fffffffff,9.0,0.0,0.0,0.0
83660bfffffffff,3.0,0.0,0.0,0.0
836610fffffffff,6.0,0.0,0.0,0.0
836612fffffffff,2.0,0.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0,0.0
836619fffffffff,2.0,0.0,2.0,0.0
83661dfffffffff,2.0,0.0,2.0,0.0
836621fffffffff,2.0,0.0,2.0,0.0
836623fffffffff,3.0,0.0,2.0,0.0
836641fffffffff,8.0,0.0,0.0,0.0
8366a0fffffffff,13.0,0.0,6.0,0.0
8366a1fffffffff,5.0,0.0,0.0,0.0
8366a5fffffffff,44.0,0.0,0.0,0.0
8366b0fffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,226.0,0.0,2.0,0.0
8366b5fffffffff,70.0,0.0,2.0,0.0
8366d2fffffffff,10.0,0.0,0.0,0.0
8366d3fffffffff,46.0,0.0,7.0,0.0
8366dafffffffff,2.0,0.0,0.0,0.0
8366dcfffffffff,5.0,0.0,3.0,0.0
8366defffffffff,35.0,0.0,2.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0
8366f0fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,32.0,0.0,1.0,0.0
836744fffffffff,37.0,0.0,0.0,0.0
83674cfffffffff,1.0,0.0,1.0,0.0
836755fffffffff,1.0,0.0,0.0,0.0
83675afffffffff,3.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
836773fffffffff,4.0,0.0,0.0,0.0
83679afffffffff,61.0,0.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0,0.0
836d06fffffffff,2.0,2.0,0.0,0.0
836d14fffffffff,9.0,0.0,0.0,0.0
836d15fffffffff,6.0,0.0,0.0,0.0
836d21fffffffff,3.0,3.0,0.0,0.0
836d25fffffffff,8.0,7.0,0.0,0.0
836d28fffffffff,13.0,0.0,0.0,0.0
836d29fffffffff,5.0,0.0,0.0,0.0
836d2afffffffff,14.0,0.0,0.0,0.0
836d2bfffffffff,6.0,0.0,0.0,0.0
836d2dfffffffff,66.0,0.0,0.0,0.0
836d2efffffffff,1.0,0.0,0.0,0.0
836d31fffffffff,62.0,59.0,0.0,0.0
836d34fffffffff,5.0,0.0,0.0,0.0
836d60fffffffff,2.0,0.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0
836d65fffffffff,6.0,0.0,0.0,0.0
836d68fffffffff,35.0,0.0,0.0,0.0
836d69fffffffff,98.0,0.0,3.0,0.0
836d6dfffffffff,8.0,0.0,0.0,0.0
836d74fffffffff,4.0,0.0,0.0,0.0
836d76fffffffff,6.0,0.0,0.0,0.0
838adafffffffff,2.0,0.0,2.0,0.0
838f2cfffffffff,2.0,0.0,0.0,0.0
83a893fffffffff,3.0,0.0,0.0,0.0
