cell_id,Diglossa mystacalis,Diglossa mystacalis unicincta,Diglossa mystacalis pectoralis,Diglossa mystacalis albilinea,Diglossa mystacalis mystacalis
828b27fffffffff,3.0,0.0,0.0,0.0,0.0
828b2ffffffffff,33.0,0.0,0.0,0.0,0.0
828b67fffffffff,719.0,0.0,0.0,40.0,0.0
828b6ffffffffff,273.0,0.0,0.0,13.0,0.0
828b77fffffffff,8.0,0.0,0.0,0.0,0.0
828e67fffffffff,167.0,0.0,6.0,0.0,0.0
828e6ffffffffff,23.0,0.0,0.0,0.0,0.0
828f47fffffffff,58.0,2.0,0.0,0.0,0.0
828f4ffffffffff,21.0,0.0,0.0,0.0,0.0
828f57fffffffff,296.0,11.0,0.0,0.0,0.0
828f5ffffffffff,342.0,9.0,21.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0,0.0,0.0
82b327fffffffff,30.0,0.0,0.0,0.0,0.0
