cell_id,Myzomela cardinalis,Myzomela cardinalis lifuensis,Myzomela cardinalis [cardinalis Group]
839e02fffffffff,62.0,0.0,0.0
839e06fffffffff,24.0,0.0,0.0
839e10fffffffff,5.0,0.0,0.0
839e11fffffffff,18.0,0.0,0.0
839e13fffffffff,19.0,0.0,0.0
839e22fffffffff,12.0,0.0,0.0
839e24fffffffff,365.0,0.0,0.0
839e26fffffffff,23.0,0.0,0.0
839e31fffffffff,1.0,0.0,0.0
839e8cfffffffff,7.0,0.0,0.0
839eadfffffffff,1.0,0.0,0.0
839ec0fffffffff,11.0,0.0,0.0
839ec3fffffffff,1.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0
839ed5fffffffff,12.0,0.0,1.0
839ef3fffffffff,1.0,0.0,0.0
839f0afffffffff,2.0,0.0,0.0
839f50fffffffff,1.0,0.0,0.0
839f51fffffffff,2.0,0.0,0.0
839f52fffffffff,49.0,0.0,0.0
839f56fffffffff,4.0,0.0,0.0
