cell_id,Cinclodes pabsti,Cinclodes pabsti espinhacensis,Cinclodes pabsti pabsti
82a88ffffffffff,112.0,96.0,0.0
82a90ffffffffff,96.0,0.0,40.0
82a91ffffffffff,118.0,0.0,67.0
