cell_id,Habia rubica,Habia rubica affinis/rosea,Habia rubica [rubicoides Group],Habia rubica [rubra Group],Habia rubica perijana,Habia rubica rubica/bahiae
834508fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83450afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83450bfffffffff,33.0,0.0,0.0,0.0,0.0,0.0
834524fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,6.0,0.0,3.0,0.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
834529fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,6.0,0.0,1.0,0.0,0.0,0.0
83452bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83452cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,19.0,0.0,6.0,0.0,0.0,0.0
834990fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8349b5fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
835f42fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835f58fffffffff,2.0,0.0,0.0,2.0,0.0,0.0
836609fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8366a0fffffffff,5.0,0.0,3.0,0.0,0.0,0.0
8366a1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366a3fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,16.0,0.0,3.0,0.0,0.0,0.0
8366b5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,6.0,0.0,0.0,0.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d2dfffffffff,4.0,0.0,4.0,0.0,0.0,0.0
836d30fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
836d31fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
836d33fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,20.0,0.0,14.0,0.0,0.0,0.0
836d75fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838134fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
838181fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838185fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838b5dfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83a810fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
83a831fffffffff,3.0,0.0,0.0,1.0,0.0,2.0
83a833fffffffff,12.0,0.0,3.0,9.0,0.0,0.0
83a953fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
