cell_id,Batis capensis,Batis capensis [erythrophthalma Group],Batis capensis capensis
829707fffffffff,49.0,0.0,0.0
829717fffffffff,6.0,0.0,0.0
82bc6ffffffffff,1.0,0.0,0.0
82bcd7fffffffff,3.0,0.0,0.0
82bce7fffffffff,2.0,1.0,0.0
82bcf7fffffffff,5.0,4.0,1.0
