cell_id,Tricholaema hirsuta,Tricholaema hirsuta hirsuta,Tricholaema hirsuta [flavipunctata Group]
825887fffffffff,1.0,0.0,0.0
825897fffffffff,4.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0
8258d7fffffffff,31.0,0.0,17.0
8258dffffffffff,3.0,0.0,2.0
826a9ffffffffff,22.0,0.0,0.0
826ac7fffffffff,412.0,0.0,90.0
826acffffffffff,142.0,0.0,18.0
826adffffffffff,208.0,0.0,23.0
826aeffffffffff,58.0,0.0,2.0
82750ffffffffff,419.0,57.0,0.0
82751ffffffffff,4.0,0.0,0.0
82752ffffffffff,222.0,20.0,0.0
8275affffffffff,3.0,0.0,0.0
8275b7fffffffff,4.0,0.0,0.0
827a4ffffffffff,123.0,0.0,0.0
828287fffffffff,16.0,0.0,2.0
82828ffffffffff,64.0,0.0,26.0
828297fffffffff,1.0,0.0,0.0
8282a7fffffffff,6.0,0.0,0.0
8282affffffffff,20.0,0.0,14.0
8282d7fffffffff,29.0,0.0,17.0
828317fffffffff,13.0,0.0,1.0
828397fffffffff,3.0,0.0,0.0
82839ffffffffff,26.0,0.0,0.0
8283affffffffff,11.0,0.0,5.0
