cell_id,Melaniparus rufiventris,Melaniparus rufiventris rufiventris/masukuensis,Melaniparus rufiventris pallidiventris
838312fffffffff,3.0,1.0,0.0
838333fffffffff,10.0,0.0,0.0
83838cfffffffff,1.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0
8383a8fffffffff,1.0,0.0,0.0
839600fffffffff,17.0,8.0,0.0
839601fffffffff,21.0,5.0,0.0
839602fffffffff,15.0,0.0,0.0
839603fffffffff,8.0,7.0,0.0
839604fffffffff,1.0,1.0,0.0
839608fffffffff,5.0,1.0,0.0
839609fffffffff,3.0,2.0,0.0
83960afffffffff,1.0,1.0,0.0
83960bfffffffff,4.0,0.0,0.0
83960efffffffff,5.0,2.0,0.0
839610fffffffff,1.0,0.0,0.0
839615fffffffff,26.0,10.0,0.0
839623fffffffff,38.0,4.0,0.0
839628fffffffff,3.0,0.0,0.0
83962afffffffff,3.0,0.0,0.0
83962bfffffffff,1.0,1.0,0.0
83962cfffffffff,1.0,0.0,0.0
83962efffffffff,3.0,3.0,0.0
839632fffffffff,2.0,0.0,0.0
839636fffffffff,26.0,0.0,0.0
839656fffffffff,1.0,0.0,0.0
839669fffffffff,1.0,0.0,0.0
839670fffffffff,4.0,0.0,0.0
839674fffffffff,1.0,0.0,0.0
839699fffffffff,1.0,0.0,0.0
8396a5fffffffff,8.0,0.0,0.0
8396a8fffffffff,3.0,0.0,0.0
8396b0fffffffff,51.0,0.0,0.0
8396b6fffffffff,5.0,0.0,0.0
839702fffffffff,19.0,0.0,0.0
839703fffffffff,29.0,0.0,12.0
839719fffffffff,1.0,0.0,0.0
83971cfffffffff,5.0,0.0,4.0
83974afffffffff,2.0,1.0,0.0
83974bfffffffff,9.0,4.0,0.0
839751fffffffff,1.0,0.0,0.0
839788fffffffff,8.0,0.0,0.0
839789fffffffff,2.0,0.0,0.0
83978bfffffffff,8.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0
8397a8fffffffff,6.0,0.0,0.0
8397aafffffffff,1.0,0.0,0.0
8397abfffffffff,2.0,0.0,0.0
8397acfffffffff,1.0,0.0,0.0
83ac96fffffffff,7.0,0.0,0.0
83ac99fffffffff,1.0,0.0,0.0
