cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
846ac3dffffffff,4.0,0.0,0.0
846ac93ffffffff,5.0,0.0,0.0
846ace5ffffffff,40.0,0.0,2.0
846ad8bffffffff,2.0,0.0,0.0
846ad99ffffffff,2.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0
846add7ffffffff,8.0,0.0,0.0
846aea9ffffffff,1.0,0.0,0.0
847a66dffffffff,5.0,0.0,0.0
847a681ffffffff,118.0,0.0,0.0
847a683ffffffff,232.0,0.0,0.0
847a687ffffffff,4.0,0.0,0.0
847a689ffffffff,7.0,0.0,0.0
847a68bffffffff,100.0,0.0,0.0
847a69dffffffff,10.0,0.0,0.0
847a6a1ffffffff,138.0,0.0,0.0
847a6a5ffffffff,17.0,0.0,0.0
847a6adffffffff,14.0,0.0,0.0
847a6d1ffffffff,305.0,0.0,0.0
847a6d3ffffffff,27.0,0.0,0.0
847a6d5ffffffff,19.0,0.0,0.0
847a6d7ffffffff,2.0,0.0,0.0
847a6d9ffffffff,91.0,0.0,0.0
847a6dbffffffff,31.0,0.0,0.0
847a6ddffffffff,5.0,0.0,0.0
847a6e7ffffffff,2.0,0.0,0.0
847ae85ffffffff,7.0,0.0,0.0
847ae9bffffffff,3.0,0.0,0.0
847aed3ffffffff,6.0,0.0,0.0
847b4d1ffffffff,1.0,0.0,0.0
847b591ffffffff,2.0,0.0,0.0
847b597ffffffff,6.0,0.0,0.0
847b6bbffffffff,2.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8483263ffffffff,1.0,0.0,0.0
8496009ffffffff,13.0,0.0,3.0
8496051ffffffff,2.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
84960edffffffff,1.0,0.0,0.0
849615dffffffff,6.0,0.0,0.0
8496207ffffffff,2.0,0.0,0.0
849623bffffffff,2.0,0.0,0.0
8496283ffffffff,1.0,0.0,0.0
8496287ffffffff,2.0,0.0,0.0
849628bffffffff,4.0,0.0,0.0
84962b9ffffffff,4.0,0.0,0.0
84962c9ffffffff,11.0,0.0,7.0
84962d9ffffffff,2.0,0.0,0.0
84962e5ffffffff,4.0,0.0,2.0
8496365ffffffff,6.0,0.0,0.0
8496703ffffffff,2.0,0.0,0.0
8496727ffffffff,1.0,0.0,0.0
8496747ffffffff,1.0,0.0,0.0
849685bffffffff,1.0,0.0,0.0
