cell_id,Otus magicus,Otus magicus [magicus Group],Otus magicus kalidupae
827397fffffffff,193.0,33.0,0.0
82950ffffffffff,1.0,0.0,1.0
829517fffffffff,1.0,0.0,0.0
82951ffffffffff,98.0,22.0,0.0
829547fffffffff,83.0,6.0,0.0
829567fffffffff,4.0,0.0,0.0
82956ffffffffff,141.0,23.0,0.0
