cell_id,Malurus assimilis,Malurus assimilis dulcis/rogersi,Malurus assimilis assimilis/bernieri
839482fffffffff,4.0,0.0,0.0
83a626fffffffff,1.0,0.0,1.0
83a706fffffffff,6.0,0.0,0.0
83a726fffffffff,1.0,0.0,0.0
83a734fffffffff,1.0,0.0,0.0
83b884fffffffff,1.0,0.0,1.0
83b885fffffffff,2.0,0.0,2.0
83be40fffffffff,6.0,0.0,0.0
83be49fffffffff,6.0,0.0,0.0
83be4afffffffff,4.0,0.0,4.0
83be89fffffffff,13.0,0.0,0.0
83bec6fffffffff,2.0,0.0,0.0
83becefffffffff,1.0,0.0,1.0
83bed1fffffffff,2.0,0.0,0.0
83bef0fffffffff,6.0,0.0,0.0
83bef2fffffffff,22.0,0.0,2.0
83bef3fffffffff,8.0,0.0,0.0
83bef5fffffffff,4.0,0.0,0.0
