cell_id,Scleroptila gutturalis,Scleroptila gutturalis gutturalis/lorti,Scleroptila gutturalis jugularis,Scleroptila gutturalis levalliantoides
8252d7fffffffff,1.0,0.0,0.0,0.0
827acffffffffff,2.0,0.0,0.0,0.0
827aeffffffffff,1.0,0.0,0.0,0.0
828307fffffffff,4.0,0.0,0.0,0.0
828337fffffffff,1.0,0.0,0.0,0.0
829747fffffffff,8.0,0.0,0.0,0.0
82974ffffffffff,1.0,0.0,0.0,0.0
82975ffffffffff,3.0,0.0,0.0,0.0
82976ffffffffff,1.0,0.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0,0.0
82ac87fffffffff,9.0,0.0,0.0,0.0
82aca7fffffffff,63.0,0.0,0.0,0.0
82acaffffffffff,1.0,0.0,0.0,0.0
82acb7fffffffff,2.0,0.0,0.0,0.0
82adb7fffffffff,2.0,0.0,0.0,1.0
82bc57fffffffff,1.0,0.0,0.0,0.0
82bcc7fffffffff,232.0,0.0,0.0,68.0
82bccffffffffff,14.0,0.0,0.0,3.0
82bcd7fffffffff,4.0,0.0,0.0,0.0
82bcdffffffffff,5.0,0.0,0.0,0.0
82bceffffffffff,31.0,0.0,0.0,4.0
