cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
834424fffffffff,1.0,0.0,0.0
834501fffffffff,71.0,0.0,1.0
834505fffffffff,147.0,0.0,5.0
834508fffffffff,349.0,0.0,58.0
834509fffffffff,65.0,0.0,23.0
83450afffffffff,250.0,0.0,35.0
83450bfffffffff,175.0,0.0,38.0
83450cfffffffff,78.0,0.0,8.0
83450dfffffffff,284.0,0.0,144.0
83450efffffffff,217.0,0.0,26.0
834520fffffffff,41.0,0.0,0.0
834521fffffffff,770.0,0.0,4.0
834522fffffffff,47.0,0.0,0.0
834523fffffffff,480.0,0.0,26.0
834524fffffffff,12.0,0.0,0.0
834525fffffffff,15.0,0.0,0.0
834526fffffffff,9.0,0.0,0.0
834528fffffffff,738.0,0.0,18.0
834529fffffffff,15.0,0.0,2.0
83452afffffffff,1737.0,0.0,148.0
83452bfffffffff,91.0,0.0,14.0
83452cfffffffff,588.0,0.0,34.0
83452dfffffffff,218.0,0.0,61.0
83452efffffffff,4529.0,0.0,247.0
834531fffffffff,13.0,0.0,0.0
834532fffffffff,8.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0
834536fffffffff,14.0,0.0,0.0
834564fffffffff,5.0,0.0,0.0
834572fffffffff,50.0,0.0,23.0
834574fffffffff,1.0,0.0,0.0
834576fffffffff,8.0,0.0,4.0
834815fffffffff,1.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0
834833fffffffff,36.0,5.0,0.0
834836fffffffff,943.0,132.0,0.0
834980fffffffff,114.0,64.0,0.0
834982fffffffff,3.0,0.0,0.0
834983fffffffff,4.0,0.0,0.0
834985fffffffff,11.0,3.0,0.0
834986fffffffff,123.0,52.0,0.0
83498cfffffffff,36.0,1.0,0.0
83498dfffffffff,2.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834991fffffffff,2.0,0.0,0.0
834994fffffffff,9.0,0.0,0.0
834995fffffffff,5.0,0.0,0.0
834996fffffffff,182.0,0.0,47.0
834998fffffffff,18.0,0.0,0.0
83499bfffffffff,2.0,0.0,0.0
83499cfffffffff,2.0,0.0,0.0
8349a2fffffffff,11.0,1.0,0.0
8349a3fffffffff,7.0,6.0,0.0
8349a8fffffffff,373.0,44.0,0.0
8349a9fffffffff,356.0,84.0,0.0
8349aafffffffff,193.0,24.0,0.0
8349abfffffffff,243.0,6.0,0.0
8349adfffffffff,10.0,4.0,0.0
8349aefffffffff,3.0,0.0,0.0
8349b0fffffffff,9.0,1.0,0.0
8349b1fffffffff,52.0,23.0,0.0
8349b2fffffffff,5.0,0.0,0.0
8349b3fffffffff,946.0,355.0,0.0
8349b5fffffffff,100.0,38.0,0.0
8349b6fffffffff,7.0,0.0,0.0
835f22fffffffff,1.0,0.0,0.0
835f29fffffffff,14.0,0.0,0.0
835f2bfffffffff,4.0,0.0,0.0
835f2dfffffffff,22.0,0.0,0.0
835f68fffffffff,6.0,0.0,0.0
836601fffffffff,14.0,0.0,0.0
836604fffffffff,4.0,0.0,0.0
836606fffffffff,5.0,0.0,0.0
836608fffffffff,54.0,0.0,0.0
83660afffffffff,7.0,0.0,0.0
836610fffffffff,16.0,0.0,0.0
836611fffffffff,12.0,0.0,0.0
836612fffffffff,6.0,0.0,0.0
836613fffffffff,7.0,0.0,0.0
836616fffffffff,74.0,0.0,4.0
836618fffffffff,296.0,0.0,23.0
836619fffffffff,45.0,0.0,0.0
83661bfffffffff,137.0,0.0,2.0
83661cfffffffff,5.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0
836620fffffffff,129.0,0.0,0.0
836621fffffffff,34.0,0.0,0.0
836622fffffffff,79.0,0.0,0.0
836623fffffffff,2.0,0.0,0.0
836625fffffffff,2.0,0.0,0.0
836629fffffffff,4.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0
83662efffffffff,5.0,0.0,0.0
836631fffffffff,17.0,0.0,0.0
836675fffffffff,5.0,0.0,0.0
836684fffffffff,21.0,0.0,0.0
8366a0fffffffff,3.0,0.0,0.0
8366a1fffffffff,2.0,0.0,0.0
8366a2fffffffff,77.0,0.0,21.0
8366a3fffffffff,16.0,0.0,0.0
8366a5fffffffff,874.0,0.0,41.0
8366b0fffffffff,20.0,0.0,0.0
8366b4fffffffff,363.0,0.0,0.0
8366b5fffffffff,615.0,0.0,1.0
8366b6fffffffff,9.0,0.0,0.0
8366c4fffffffff,58.0,0.0,0.0
8366c6fffffffff,15.0,0.0,0.0
8366d0fffffffff,17.0,0.0,2.0
8366d1fffffffff,1.0,0.0,0.0
8366d2fffffffff,16.0,0.0,0.0
8366d3fffffffff,360.0,0.0,45.0
8366d5fffffffff,17.0,0.0,0.0
8366e0fffffffff,159.0,0.0,0.0
8366e2fffffffff,52.0,0.0,0.0
8366e4fffffffff,157.0,0.0,0.0
8366e6fffffffff,828.0,0.0,7.0
8366f0fffffffff,2.0,0.0,0.0
8366f1fffffffff,26.0,0.0,0.0
8366f5fffffffff,143.0,0.0,5.0
836741fffffffff,5.0,0.0,0.0
836742fffffffff,32.0,0.0,0.0
836743fffffffff,4.0,0.0,0.0
83674afffffffff,5.0,0.0,0.0
83674cfffffffff,91.0,0.0,19.0
83674dfffffffff,1.0,0.0,0.0
83674efffffffff,9.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
836753fffffffff,11.0,0.0,0.0
836758fffffffff,3.0,0.0,0.0
836759fffffffff,11.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
83675bfffffffff,1.0,0.0,0.0
83675dfffffffff,1.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
836790fffffffff,14.0,0.0,0.0
836792fffffffff,7.0,0.0,0.0
836794fffffffff,4.0,0.0,0.0
836796fffffffff,23.0,0.0,0.0
8367b2fffffffff,5.0,0.0,0.0
836d04fffffffff,34.0,0.0,4.0
836d05fffffffff,457.0,0.0,215.0
836d14fffffffff,2.0,0.0,0.0
836d15fffffffff,24.0,0.0,0.0
836d20fffffffff,5.0,0.0,0.0
836d21fffffffff,62.0,0.0,16.0
836d22fffffffff,43.0,0.0,7.0
836d23fffffffff,351.0,0.0,95.0
836d28fffffffff,26.0,0.0,0.0
836d29fffffffff,59.0,0.0,0.0
836d2afffffffff,36.0,0.0,5.0
836d2bfffffffff,801.0,0.0,0.0
836d2cfffffffff,222.0,0.0,75.0
836d2dfffffffff,82.0,0.0,0.0
836d2efffffffff,14.0,0.0,4.0
836d30fffffffff,209.0,0.0,0.0
836d31fffffffff,104.0,0.0,25.0
836d32fffffffff,678.0,7.0,0.0
836d33fffffffff,558.0,44.0,0.0
836d34fffffffff,8.0,0.0,5.0
836d35fffffffff,46.0,0.0,15.0
836d36fffffffff,10.0,0.0,1.0
836d60fffffffff,141.0,0.0,0.0
836d61fffffffff,69.0,0.0,1.0
836d65fffffffff,189.0,0.0,0.0
836d66fffffffff,16.0,0.0,0.0
836d68fffffffff,347.0,0.0,0.0
836d69fffffffff,2149.0,0.0,0.0
836d6afffffffff,3.0,0.0,0.0
836d6bfffffffff,308.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6dfffffffff,931.0,0.0,0.0
836d6efffffffff,22.0,0.0,0.0
836d74fffffffff,123.0,0.0,0.0
836d75fffffffff,10.0,0.0,0.0
836d76fffffffff,3.0,0.0,0.0
838000fffffffff,3.0,0.0,0.0
838002fffffffff,2.0,0.0,0.0
838004fffffffff,1.0,0.0,0.0
838005fffffffff,5.0,0.0,2.0
838006fffffffff,4.0,0.0,0.0
838010fffffffff,4.0,0.0,0.0
838011fffffffff,2.0,0.0,0.0
838014fffffffff,44.0,0.0,4.0
