cell_id,Lanius excubitor,Lanius excubitor [excubitor Group],Lanius excubitor [elegans Group],Lanius excubitor aucheri/buryi,Lanius excubitor uncinatus,Lanius excubitor pallidirostris,Lanius excubitor lahtora
840880dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8408859ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84098bdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411811ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
841181bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841181dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84118e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411aa7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ab1ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8411ae7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84186c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84186c9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
841873bffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8419401ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8419407ffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
841940dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8419411ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419413ffffffff,6.0,0.0,0.0,0.0,0.0,2.0,0.0
8419415ffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
8419417ffffffff,6.0,2.0,0.0,0.0,0.0,0.0,0.0
8419429ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841942bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841942dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8419431ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8419433ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8419437ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8419439ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841943bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8419461ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419481ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419485ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
84194a5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84194adffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84194c5ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
84194e5ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84194e7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84194e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84194edffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8419549ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8419551ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419559ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419581ffffffff,9.0,0.0,0.0,0.0,0.0,2.0,0.0
8419589ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8419591ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84195c1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84195c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
