cell_id,Gerygone palpebrosa,Gerygone palpebrosa [palpebrosa Group],Gerygone palpebrosa flavida
8472895ffffffff,1.0,0.0,0.0
8472917ffffffff,3.0,0.0,0.0
84729e9ffffffff,3.0,0.0,0.0
8472a23ffffffff,1.0,0.0,0.0
8472a2bffffffff,36.0,0.0,0.0
8472d23ffffffff,18.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0
8472d97ffffffff,9.0,0.0,0.0
8472db3ffffffff,6.0,0.0,0.0
8472f23ffffffff,9.0,0.0,0.0
84739a1ffffffff,1.0,0.0,0.0
84739abffffffff,73.0,0.0,0.0
84739b1ffffffff,5.0,0.0,0.0
84739b5ffffffff,2.0,0.0,0.0
849c003ffffffff,10.0,5.0,0.0
849c009ffffffff,66.0,33.0,0.0
849c00bffffffff,13.0,11.0,0.0
849c011ffffffff,2.0,0.0,0.0
849c013ffffffff,1.0,1.0,0.0
849c015ffffffff,2.0,0.0,0.0
849c017ffffffff,20.0,5.0,0.0
849c01dffffffff,2.0,0.0,0.0
849c03bffffffff,2.0,2.0,0.0
849c055ffffffff,20.0,13.0,0.0
849c059ffffffff,21.0,1.0,0.0
849c05dffffffff,165.0,6.0,12.0
849c0a1ffffffff,1.0,0.0,0.0
849c0a3ffffffff,1.0,0.0,0.0
849c0a5ffffffff,2.0,1.0,0.0
849c0a7ffffffff,2.0,2.0,0.0
849c0e7ffffffff,2.0,2.0,0.0
849c0e9ffffffff,12.0,6.0,0.0
849c0edffffffff,9.0,4.0,0.0
849c191ffffffff,566.0,193.0,0.0
849c193ffffffff,3.0,0.0,0.0
849c199ffffffff,3.0,0.0,0.0
849c19bffffffff,5.0,4.0,0.0
849c19dffffffff,43.0,15.0,0.0
849c203ffffffff,39.0,0.0,2.0
849c207ffffffff,14.0,0.0,0.0
849c20bffffffff,23.0,0.0,0.0
849c215ffffffff,11.0,0.0,0.0
849c217ffffffff,2.0,0.0,0.0
849c21bffffffff,40.0,1.0,0.0
849c21dffffffff,2.0,0.0,0.0
849c231ffffffff,384.0,9.0,5.0
849c233ffffffff,44.0,4.0,2.0
849c237ffffffff,768.0,15.0,3.0
849c239ffffffff,187.0,10.0,10.0
849c23bffffffff,109.0,5.0,2.0
849c23dffffffff,2.0,0.0,0.0
849c251ffffffff,36.0,0.0,0.0
849c255ffffffff,3.0,0.0,0.0
849c257ffffffff,4.0,0.0,0.0
849c259ffffffff,19.0,0.0,0.0
849c2e9ffffffff,2.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0
849c85bffffffff,101.0,0.0,0.0
849c8b5ffffffff,2.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c993ffffffff,2.0,0.0,0.0
849c9d5ffffffff,4.0,0.0,0.0
849c9d7ffffffff,2.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0
849cd31ffffffff,3.0,0.0,0.0
849ce2dffffffff,3.0,0.0,0.0
849ce45ffffffff,3.0,2.0,0.0
849ce47ffffffff,5.0,3.0,0.0
849ce67ffffffff,3.0,0.0,0.0
849cf53ffffffff,59.0,7.0,0.0
849cf5bffffffff,2.0,2.0,0.0
849d013ffffffff,27.0,0.0,0.0
849d01bffffffff,25.0,0.0,0.0
849d0abffffffff,8.0,0.0,0.0
849d0b1ffffffff,6.0,0.0,0.0
849d0b3ffffffff,3.0,0.0,0.0
849d0b5ffffffff,12.0,0.0,2.0
849d0b7ffffffff,13.0,1.0,0.0
849d0b9ffffffff,2.0,0.0,0.0
849d0bdffffffff,5.0,0.0,0.0
849d0c1ffffffff,4.0,0.0,0.0
849d0c5ffffffff,4.0,0.0,0.0
849d0c9ffffffff,2.0,0.0,0.0
849d0cdffffffff,26.0,0.0,2.0
849d0e9ffffffff,7.0,0.0,2.0
849d0edffffffff,4.0,0.0,0.0
849d211ffffffff,8.0,0.0,3.0
849d215ffffffff,3.0,0.0,0.0
849d217ffffffff,3.0,0.0,0.0
849d219ffffffff,2.0,0.0,0.0
849d21dffffffff,43.0,0.0,2.0
849d233ffffffff,2.0,0.0,0.0
849d23bffffffff,17.0,0.0,4.0
849d24bffffffff,34.0,0.0,0.0
849d251ffffffff,1.0,0.0,0.0
849d253ffffffff,5.0,0.0,0.0
849d255ffffffff,15.0,0.0,0.0
849d257ffffffff,2.0,0.0,0.0
849d259ffffffff,1.0,0.0,0.0
849d25bffffffff,1.0,0.0,0.0
849d2a5ffffffff,4.0,0.0,0.0
849d2adffffffff,2.0,0.0,0.0
849d2e7ffffffff,2.0,0.0,2.0
84be883ffffffff,72.0,0.0,1.0
84be887ffffffff,75.0,0.0,5.0
84be88bffffffff,38.0,0.0,1.0
84be895ffffffff,2.0,0.0,0.0
84be89dffffffff,18.0,0.0,2.0
84be8b1ffffffff,15.0,0.0,0.0
84be8b3ffffffff,8.0,0.0,0.0
84be8b5ffffffff,14.0,0.0,0.0
84be8b7ffffffff,35.0,0.0,1.0
84be8b9ffffffff,2.0,0.0,0.0
84be8bdffffffff,17.0,0.0,0.0
84be8d5ffffffff,1.0,0.0,0.0
