cell_id,Prunella ocularis,Prunella ocularis ocularis,Prunella ocularis fagani
832c00fffffffff,9.0,7.0,0.0
832c01fffffffff,11.0,4.0,0.0
832c03fffffffff,11.0,11.0,0.0
832c05fffffffff,59.0,45.0,0.0
832c06fffffffff,11.0,11.0,0.0
832c10fffffffff,2.0,2.0,0.0
832c11fffffffff,2.0,2.0,0.0
832c13fffffffff,2.0,2.0,0.0
832c15fffffffff,12.0,11.0,0.0
832c19fffffffff,12.0,12.0,0.0
832c1dfffffffff,1.0,1.0,0.0
832c22fffffffff,2.0,2.0,0.0
832c26fffffffff,40.0,38.0,0.0
832c33fffffffff,22.0,21.0,0.0
832c34fffffffff,1.0,1.0,0.0
832c8efffffffff,2.0,2.0,0.0
832ca8fffffffff,1.0,1.0,0.0
832cacfffffffff,3.0,3.0,0.0
832cc2fffffffff,6.0,5.0,0.0
832cc3fffffffff,8.0,8.0,0.0
832cc6fffffffff,2.0,1.0,0.0
832ccefffffffff,4.0,4.0,0.0
832cd4fffffffff,24.0,24.0,0.0
832cd5fffffffff,14.0,12.0,0.0
832cf1fffffffff,2.0,2.0,0.0
832cf3fffffffff,131.0,123.0,0.0
832cf5fffffffff,2.0,2.0,0.0
832d10fffffffff,1.0,1.0,0.0
832d12fffffffff,136.0,119.0,0.0
832d13fffffffff,19.0,16.0,0.0
832d18fffffffff,2.0,2.0,0.0
832d1bfffffffff,1.0,1.0,0.0
832d1efffffffff,3.0,3.0,0.0
832da8fffffffff,12.0,11.0,0.0
832dabfffffffff,1.0,1.0,0.0
832dacfffffffff,6.0,5.0,0.0
833f6dfffffffff,1.0,1.0,0.0
834220fffffffff,2.0,2.0,0.0
834300fffffffff,3.0,3.0,0.0
83431cfffffffff,2.0,0.0,0.0
83431efffffffff,2.0,2.0,0.0
834325fffffffff,2.0,0.0,0.0
834326fffffffff,9.0,8.0,0.0
834333fffffffff,1.0,1.0,0.0
83521bfffffffff,2.0,0.0,2.0
8352f5fffffffff,1.0,0.0,1.0
