cell_id,Dacnis lineata,Dacnis lineata egregia/aequatorialis,Dacnis lineata lineata
845f42bffffffff,7.0,0.0,0.0
8466113ffffffff,2.0,2.0,0.0
846619bffffffff,4.0,4.0,0.0
84661c3ffffffff,4.0,0.0,0.0
84661cdffffffff,27.0,4.0,0.0
84661d1ffffffff,5.0,5.0,0.0
8466297ffffffff,3.0,0.0,0.0
8466c21ffffffff,3.0,0.0,2.0
8466d01ffffffff,9.0,6.0,0.0
8466d0bffffffff,3.0,0.0,0.0
8466d0dffffffff,44.0,23.0,0.0
8466d1bffffffff,3.0,0.0,3.0
8466d31ffffffff,9.0,7.0,0.0
8466d35ffffffff,13.0,4.0,0.0
8466de1ffffffff,2.0,0.0,0.0
8466de3ffffffff,4.0,0.0,0.0
8466e1dffffffff,2.0,0.0,0.0
8466e63ffffffff,2.0,0.0,0.0
8466e67ffffffff,3.0,0.0,0.0
8466ec9ffffffff,3.0,0.0,0.0
84806b7ffffffff,2.0,0.0,0.0
848a059ffffffff,1.0,0.0,1.0
848b5cdffffffff,2.0,0.0,2.0
848b617ffffffff,3.0,0.0,3.0
848b637ffffffff,4.0,0.0,4.0
848b63bffffffff,6.0,0.0,6.0
848f0d1ffffffff,4.0,3.0,0.0
848f763ffffffff,1.0,0.0,0.0
