cell_id,Xiphorhynchus susurrans,Xiphorhynchus susurrans [nana Group],Xiphorhynchus susurrans [susurrans Group]
8445205ffffffff,4.0,0.0,0.0
8445207ffffffff,8.0,0.0,0.0
844520dffffffff,1.0,0.0,0.0
8445221ffffffff,173.0,0.0,0.0
8445225ffffffff,358.0,0.0,0.0
844522dffffffff,5.0,0.0,0.0
8445263ffffffff,29.0,0.0,0.0
844526bffffffff,1.0,0.0,0.0
8445303ffffffff,4.0,0.0,0.0
8445305ffffffff,27.0,0.0,0.0
8445309ffffffff,8.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
8445319ffffffff,37.0,0.0,0.0
8445321ffffffff,21.0,0.0,0.0
844532bffffffff,72.0,0.0,0.0
8445343ffffffff,34.0,0.0,0.0
8445363ffffffff,16.0,0.0,0.0
8445365ffffffff,50.0,0.0,0.0
8445367ffffffff,10.0,0.0,0.0
845f483ffffffff,7.0,0.0,0.0
845f487ffffffff,61.0,0.0,0.0
845f491ffffffff,10.0,0.0,0.0
845f4a3ffffffff,2.0,0.0,0.0
845f4a7ffffffff,8.0,0.0,0.0
845f4a9ffffffff,14.0,0.0,0.0
845f4abffffffff,40.0,0.0,0.0
845f4b3ffffffff,2.0,0.0,0.0
845f4b9ffffffff,7.0,0.0,1.0
845f4bdffffffff,41.0,0.0,1.0
845f4e7ffffffff,6.0,0.0,0.0
845f581ffffffff,2.0,0.0,0.0
845f583ffffffff,956.0,0.0,0.0
845f587ffffffff,2.0,0.0,0.0
845f58bffffffff,2.0,0.0,0.0
845f595ffffffff,25.0,0.0,0.0
845f59bffffffff,1.0,0.0,1.0
845f5b5ffffffff,474.0,0.0,0.0
845f5b9ffffffff,59.0,0.0,0.0
845f5bdffffffff,97.0,0.0,0.0
845f5d7ffffffff,2.0,0.0,0.0
846601bffffffff,52.0,0.0,0.0
8466025ffffffff,2.0,0.0,0.0
8466027ffffffff,3.0,0.0,0.0
8466035ffffffff,1.0,0.0,0.0
8466045ffffffff,15.0,0.0,0.0
846606bffffffff,12.0,0.0,0.0
8466087ffffffff,3.0,0.0,0.0
8466089ffffffff,1.0,0.0,0.0
846608dffffffff,206.0,0.0,0.0
84660a1ffffffff,11.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a7ffffffff,88.0,0.0,0.0
84660a9ffffffff,3.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660bdffffffff,4.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0
84660c7ffffffff,2.0,0.0,0.0
84660cbffffffff,18.0,0.0,0.0
84660cdffffffff,5.0,0.0,0.0
84660d1ffffffff,1.0,0.0,0.0
84660d3ffffffff,1.0,0.0,0.0
84660d9ffffffff,2.0,0.0,0.0
84660ddffffffff,3.0,0.0,0.0
84660e1ffffffff,31.0,0.0,0.0
84660e7ffffffff,44.0,0.0,0.0
84660e9ffffffff,14.0,0.0,0.0
84660ebffffffff,50.0,0.0,0.0
8466101ffffffff,2.0,0.0,0.0
8466105ffffffff,54.0,2.0,0.0
8466107ffffffff,1415.0,125.0,0.0
846610bffffffff,9.0,0.0,0.0
8466113ffffffff,59.0,0.0,0.0
8466115ffffffff,2.0,0.0,0.0
8466117ffffffff,20.0,0.0,0.0
8466119ffffffff,21.0,0.0,0.0
846611bffffffff,1.0,0.0,0.0
846611dffffffff,7.0,0.0,0.0
8466129ffffffff,114.0,5.0,0.0
8466131ffffffff,83.0,13.0,0.0
8466135ffffffff,15.0,6.0,0.0
8466139ffffffff,1000.0,84.0,0.0
846613dffffffff,71.0,0.0,0.0
8466163ffffffff,660.0,61.0,0.0
8466165ffffffff,200.0,40.0,0.0
8466167ffffffff,275.0,33.0,0.0
846616bffffffff,1.0,0.0,0.0
8466181ffffffff,5.0,0.0,0.0
8466183ffffffff,112.0,19.0,0.0
8466189ffffffff,20.0,0.0,0.0
846618bffffffff,72.0,3.0,0.0
8466191ffffffff,9.0,0.0,0.0
8466193ffffffff,340.0,11.0,0.0
8466195ffffffff,10.0,0.0,0.0
8466199ffffffff,24.0,0.0,0.0
846619bffffffff,590.0,29.0,0.0
84661a5ffffffff,3.0,0.0,0.0
84661b3ffffffff,200.0,2.0,0.0
84661b9ffffffff,13.0,0.0,0.0
84661bbffffffff,17.0,0.0,0.0
84661c1ffffffff,3.0,0.0,0.0
84661c3ffffffff,3.0,0.0,0.0
84661c5ffffffff,6.0,0.0,0.0
84661c9ffffffff,5.0,0.0,0.0
84661cbffffffff,11.0,0.0,0.0
84661cdffffffff,55.0,0.0,0.0
84661d1ffffffff,20.0,0.0,0.0
84661d3ffffffff,3.0,0.0,0.0
84661d7ffffffff,3.0,0.0,0.0
84661ddffffffff,10.0,0.0,0.0
84661ebffffffff,53.0,0.0,0.0
8466201ffffffff,32.0,0.0,0.0
8466203ffffffff,44.0,3.0,0.0
8466205ffffffff,204.0,10.0,0.0
8466207ffffffff,22.0,5.0,0.0
8466211ffffffff,1.0,0.0,0.0
