cell_id,Vireo chivi,Vireo chivi [agilis Group],Vireo chivi chivi/diversus
825f47fffffffff,3.0,3.0,0.0
825f4ffffffffff,15.0,0.0,0.0
825f5ffffffffff,26.0,18.0,5.0
826627fffffffff,2.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0
826667fffffffff,5.0,0.0,0.0
8266c7fffffffff,3.0,3.0,0.0
8266d7fffffffff,19.0,19.0,0.0
8266dffffffffff,43.0,0.0,1.0
8266e7fffffffff,5.0,0.0,0.0
826747fffffffff,25.0,2.0,0.0
82674ffffffffff,20.0,0.0,0.0
826757fffffffff,1.0,0.0,0.0
82675ffffffffff,9.0,4.0,0.0
82676ffffffffff,2.0,0.0,0.0
828017fffffffff,3.0,1.0,2.0
828027fffffffff,6.0,0.0,0.0
828037fffffffff,8.0,8.0,0.0
828047fffffffff,3.0,2.0,1.0
82804ffffffffff,1.0,0.0,1.0
828057fffffffff,3.0,2.0,1.0
828067fffffffff,1.0,1.0,0.0
828127fffffffff,6.0,2.0,0.0
828137fffffffff,1.0,0.0,1.0
828177fffffffff,1.0,0.0,1.0
828187fffffffff,9.0,0.0,9.0
82818ffffffffff,30.0,0.0,30.0
82819ffffffffff,17.0,2.0,15.0
8281a7fffffffff,2.0,0.0,2.0
828a07fffffffff,7.0,0.0,6.0
828a87fffffffff,10.0,1.0,9.0
828a9ffffffffff,8.0,0.0,8.0
828af7fffffffff,4.0,1.0,3.0
828b27fffffffff,24.0,0.0,24.0
828b2ffffffffff,2.0,0.0,2.0
828b57fffffffff,2.0,2.0,0.0
828b5ffffffffff,2.0,0.0,2.0
828b67fffffffff,6.0,4.0,0.0
828b6ffffffffff,2.0,2.0,0.0
828b77fffffffff,2.0,0.0,1.0
828b87fffffffff,3.0,0.0,3.0
828e6ffffffffff,3.0,3.0,0.0
828f0ffffffffff,2.0,2.0,0.0
828f2ffffffffff,20.0,20.0,0.0
828f4ffffffffff,8.0,0.0,7.0
828f77fffffffff,4.0,1.0,0.0
82a807fffffffff,68.0,0.0,11.0
82a817fffffffff,198.0,0.0,104.0
82a81ffffffffff,111.0,0.0,55.0
82a827fffffffff,17.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0
82a837fffffffff,23.0,0.0,8.0
82a887fffffffff,11.0,8.0,0.0
82a88ffffffffff,3.0,2.0,0.0
82a897fffffffff,6.0,6.0,0.0
82a8a7fffffffff,32.0,0.0,0.0
82a8affffffffff,2.0,2.0,0.0
82a8c7fffffffff,9.0,2.0,1.0
82a8d7fffffffff,2.0,0.0,2.0
82a8f7fffffffff,2.0,0.0,0.0
82a907fffffffff,1.0,1.0,0.0
82a91ffffffffff,20.0,0.0,0.0
82a92ffffffffff,1.0,0.0,1.0
82a947fffffffff,14.0,0.0,3.0
82a94ffffffffff,2.0,0.0,0.0
82a957fffffffff,29.0,13.0,4.0
82a967fffffffff,99.0,0.0,0.0
82a96ffffffffff,26.0,0.0,0.0
82b20ffffffffff,3.0,0.0,0.0
82b227fffffffff,2.0,0.0,0.0
82b247fffffffff,17.0,0.0,0.0
82b24ffffffffff,143.0,0.0,0.0
82b25ffffffffff,9.0,0.0,0.0
82b267fffffffff,1.0,0.0,0.0
82b26ffffffffff,56.0,0.0,0.0
82b277fffffffff,2.0,0.0,0.0
82b2effffffffff,41.0,0.0,0.0
82b327fffffffff,4.0,0.0,4.0
82b347fffffffff,68.0,0.0,0.0
82b35ffffffffff,11.0,0.0,0.0
82b367fffffffff,13.0,0.0,12.0
82b377fffffffff,1.0,0.0,1.0
82c2cffffffffff,94.0,0.0,0.0
82c2d7fffffffff,1.0,0.0,0.0
82c2e7fffffffff,27.0,0.0,23.0
82c2effffffffff,8.0,0.0,0.0
82c2f7fffffffff,3.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0
