cell_id,Turdus fumigatus,Turdus fumigatus personus,Turdus fumigatus [fumigatus Group]
825e67fffffffff,65.0,0.0,0.0
825e77fffffffff,358.0,0.0,0.0
825f07fffffffff,111.0,0.0,0.0
825f0ffffffffff,10.0,0.0,0.0
825f17fffffffff,25.0,0.0,0.0
825f1ffffffffff,5.0,0.0,0.0
825f2ffffffffff,65.0,0.0,0.0
825f47fffffffff,6.0,0.0,0.0
825f4ffffffffff,21.0,0.0,0.0
825f57fffffffff,22.0,0.0,0.0
825f5ffffffffff,2181.0,0.0,0.0
825f6ffffffffff,16.0,0.0,0.0
825f77fffffffff,15.0,0.0,0.0
82661ffffffffff,2.0,0.0,0.0
82662ffffffffff,13.0,0.0,0.0
826647fffffffff,123.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,29.0,0.0,0.0
82665ffffffffff,2.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0
82666ffffffffff,8.0,0.0,0.0
826677fffffffff,1.0,0.0,0.0
8266e7fffffffff,17.0,0.0,0.0
8266effffffffff,247.0,0.0,0.0
8266f7fffffffff,1.0,0.0,0.0
826747fffffffff,42.0,0.0,0.0
82674ffffffffff,166.0,0.0,0.0
826757fffffffff,8.0,0.0,0.0
82675ffffffffff,107.0,0.0,0.0
828047fffffffff,28.0,0.0,0.0
82804ffffffffff,17.0,0.0,0.0
828067fffffffff,44.0,0.0,0.0
82806ffffffffff,18.0,0.0,1.0
828077fffffffff,2.0,0.0,0.0
828117fffffffff,1.0,0.0,0.0
828137fffffffff,10.0,0.0,0.0
828147fffffffff,1.0,0.0,0.0
82814ffffffffff,160.0,0.0,0.0
82815ffffffffff,14.0,0.0,0.0
828167fffffffff,3.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0
828a87fffffffff,20.0,0.0,0.0
828a8ffffffffff,3.0,0.0,0.0
828a97fffffffff,2.0,0.0,0.0
828aaffffffffff,6.0,0.0,0.0
828adffffffffff,15.0,0.0,2.0
828af7fffffffff,69.0,0.0,9.0
828b87fffffffff,3.0,0.0,0.0
828b8ffffffffff,12.0,0.0,0.0
828b9ffffffffff,10.0,0.0,0.0
828bb7fffffffff,30.0,0.0,0.0
82a597fffffffff,16.0,0.0,5.0
82a85ffffffffff,3.0,0.0,0.0
82a897fffffffff,70.0,0.0,6.0
82a8cffffffffff,1.0,0.0,0.0
