cell_id,Euschistospiza cinereovinacea,Euschistospiza cinereovinacea cinereovinacea,Euschistospiza cinereovinacea graueri
826ac7fffffffff,2.0,0.0,0.0
826adffffffffff,92.0,0.0,0.0
828317fffffffff,2.0,1.0,0.0
828337fffffffff,35.0,13.0,0.0
8283a7fffffffff,1.0,0.0,0.0
8283affffffffff,1.0,0.0,0.0
