cell_id,Daphoenositta chrysoptera,Daphoenositta chrysoptera leucoptera,Daphoenositta chrysoptera striata,Daphoenositta chrysoptera leucocephala,Daphoenositta chrysoptera chrysoptera,Daphoenositta chrysoptera pileata
83941bfffffffff,2.0,1.0,0.0,0.0,0.0,0.0
839443fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
839451fffffffff,15.0,2.0,0.0,0.0,0.0,0.0
839453fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839455fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83945afffffffff,108.0,38.0,0.0,0.0,0.0,0.0
83945efffffffff,33.0,3.0,0.0,0.0,0.0,0.0
839480fffffffff,14.0,5.0,0.0,0.0,0.0,0.0
839481fffffffff,101.0,43.0,0.0,0.0,0.0,0.0
839483fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839485fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83948dfffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8394aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8394aefffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8394c4fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8394c5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8394c6fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8394c9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8394e2fffffffff,11.0,4.0,0.0,0.0,0.0,0.0
8394e3fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8394e8fffffffff,42.0,5.0,0.0,0.0,0.0,0.0
8394e9fffffffff,7.0,4.0,0.0,0.0,0.0,0.0
8394ebfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8394edfffffffff,49.0,26.0,0.0,0.0,0.0,0.0
8394eefffffffff,43.0,23.0,0.0,0.0,0.0,0.0
8394f0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8394f2fffffffff,16.0,14.0,0.0,0.0,0.0,0.0
8394f3fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8394f4fffffffff,15.0,4.0,0.0,0.0,0.0,0.0
8394f5fffffffff,10.0,5.0,0.0,0.0,0.0,0.0
8394f6fffffffff,39.0,8.0,0.0,0.0,0.0,0.0
839c01fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839c05fffffffff,19.0,0.0,3.0,0.0,0.0,0.0
839c0cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839c0efffffffff,15.0,0.0,2.0,0.0,0.0,0.0
839c19fffffffff,11.0,0.0,2.0,0.0,0.0,0.0
839c21fffffffff,11.0,0.0,3.0,0.0,0.0,0.0
839c23fffffffff,93.0,0.0,16.0,0.0,0.0,0.0
839c25fffffffff,16.0,0.0,10.0,0.0,0.0,0.0
839c2cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
839c2dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
839c41fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839c44fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
839c45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839c4afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
839c4efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
839c5afffffffff,2.0,2.0,0.0,0.0,0.0,0.0
839c5bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839c60fffffffff,11.0,1.0,0.0,0.0,0.0,5.0
839c6cfffffffff,1.0,0.0,0.0,0.0,0.0,1.0
839ce4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
