cell_id,Laniarius poensis,Laniarius poensis camerunensis,Laniarius poensis poensis
8258d7fffffffff,83.0,78.0,0.0
8258dffffffffff,3.0,2.0,0.0
82828ffffffffff,1.0,0.0,0.0
8282d7fffffffff,109.0,36.0,37.0
