cell_id,Vireo plumbeus,Vireo plumbeus plumbeus/gravis,Vireo plumbeus notius/montanus
8426121ffffffff,1.0,0.0,0.0
8426127ffffffff,13.0,0.0,0.0
8426165ffffffff,56.0,0.0,0.0
8426801ffffffff,49.0,0.0,0.0
8426803ffffffff,3.0,0.0,0.0
8426805ffffffff,11.0,0.0,0.0
842680dffffffff,17.0,0.0,0.0
8426811ffffffff,6.0,0.0,0.0
8426813ffffffff,864.0,0.0,0.0
8426815ffffffff,11.0,0.0,0.0
8426817ffffffff,9.0,0.0,0.0
8426819ffffffff,447.0,0.0,0.0
842681bffffffff,937.0,0.0,0.0
8426821ffffffff,6.0,0.0,0.0
8426823ffffffff,16.0,0.0,0.0
8426825ffffffff,9.0,0.0,0.0
8426827ffffffff,3.0,0.0,0.0
8426829ffffffff,2.0,0.0,0.0
842682dffffffff,3.0,0.0,0.0
8426831ffffffff,66.0,0.0,0.0
8426833ffffffff,11.0,0.0,0.0
8426835ffffffff,26.0,0.0,0.0
8426837ffffffff,10.0,0.0,0.0
8426839ffffffff,17.0,0.0,0.0
842683bffffffff,7.0,0.0,0.0
842683dffffffff,4.0,0.0,0.0
8426843ffffffff,4.0,0.0,0.0
8426847ffffffff,19.0,0.0,0.0
8426851ffffffff,4.0,0.0,0.0
8426853ffffffff,307.0,0.0,0.0
8426857ffffffff,9.0,0.0,0.0
8426859ffffffff,15.0,0.0,0.0
842685bffffffff,15.0,0.0,0.0
842685dffffffff,2.0,0.0,0.0
8426867ffffffff,2.0,0.0,0.0
8426881ffffffff,110.0,0.0,0.0
8426885ffffffff,375.0,0.0,0.0
8426887ffffffff,71.0,0.0,0.0
8426889ffffffff,698.0,0.0,0.0
842688bffffffff,8.0,0.0,0.0
842688dffffffff,237.0,0.0,0.0
8426891ffffffff,15.0,0.0,0.0
8426893ffffffff,20.0,0.0,0.0
8426895ffffffff,1.0,0.0,0.0
8426899ffffffff,1.0,0.0,0.0
84268a3ffffffff,6.0,0.0,0.0
84268a5ffffffff,6.0,0.0,0.0
84268a7ffffffff,5.0,0.0,0.0
84268a9ffffffff,31.0,0.0,0.0
84268abffffffff,89.0,0.0,0.0
84268adffffffff,4.0,0.0,0.0
84268b1ffffffff,48.0,0.0,0.0
84268b3ffffffff,17.0,0.0,0.0
84268b5ffffffff,1.0,0.0,0.0
84268b7ffffffff,60.0,0.0,0.0
84268b9ffffffff,172.0,0.0,0.0
84268bbffffffff,196.0,0.0,0.0
84268bdffffffff,14.0,0.0,0.0
84268c1ffffffff,422.0,0.0,0.0
84268c3ffffffff,4.0,0.0,0.0
84268c5ffffffff,681.0,0.0,0.0
84268c7ffffffff,557.0,0.0,0.0
84268c9ffffffff,1.0,0.0,0.0
84268cbffffffff,2.0,0.0,0.0
84268cdffffffff,452.0,0.0,0.0
84268d3ffffffff,37.0,0.0,0.0
84268d5ffffffff,60.0,0.0,0.0
84268d7ffffffff,6.0,0.0,0.0
84268e1ffffffff,46.0,0.0,0.0
84268e3ffffffff,43.0,0.0,0.0
84268e5ffffffff,20.0,0.0,0.0
84268e7ffffffff,79.0,0.0,0.0
84268ebffffffff,35.0,0.0,0.0
84268edffffffff,2.0,0.0,0.0
